dataset,split,model,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
pilot,val,finloop,solar-panel,54,227,0.548,0.414,0.472,0.379,0.202,0.202,0.159,0.178,75.02030515670776
pilot,val,ariel,solar-panel,54,227,0.546,0.429,0.481,0.401,0.206,0,0,0,8.941538095474243
pilot,val,pools,solarpanel,54,227,0.657,0.523,0.583,0.553,0.334,0,0,0,9.957763433456421
synth,train,finloop,solar-panel,150,374,0.396,0.275,0.325,0.273,0.115,0.255,0.185,0.214,17.922183990478516
synth,train,ariel,solar-panel,150,374,0.462,0.38,0.417,0.326,0.147,0,0,0,11.449243307113647
synth,train,pools,solarpanel,150,374,0.372,0.458,0.411,0.388,0.188,0,0,0,17.246383905410767
synth,val,finloop,solar-panel,12,35,0.501,0.571,0.534,0.538,0.259,0.361,0.429,0.392,13.721206426620483
synth,val,ariel,solar-panel,12,35,0.565,0.6,0.582,0.586,0.266,0,0,0,4.971065282821655
synth,val,pools,solarpanel,12,35,0.668,0.543,0.599,0.637,0.34,0,0,0,4.891871213912964
synth,test,finloop,solar-panel,18,32,0.342,0.375,0.358,0.298,0.095,0.222,0.219,0.22,19.182566165924072
synth,test,ariel,solar-panel,18,32,0.337,0.25,0.287,0.273,0.108,0,0,0,4.497413635253906
synth,test,pools,solarpanel,18,32,0.435,0.469,0.451,0.355,0.159,0,0,0,5.666946172714233
