dataset,split,model,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
pilot,val,finloop,solar-panel,54,227,0.547,0.414,0.471,0.379,0.202,0.202,0.159,0.178,7.496267557144165
pilot,val,ariel,solar-panel,54,227,0.546,0.429,0.481,0.401,0.206,0,0,0,3.5087766647338867
pilot,val,pools,solarpanel,54,227,0.657,0.523,0.583,0.553,0.334,0,0,0,5.056048631668091
rzeszow,train,finloop,solar-panel,8440,66301,0.963,0.929,0.946,0.961,0.642,0.936,0.871,0.902,51.53090858459473
rzeszow,train,ariel,solar-panel,8440,66301,0.916,0.843,0.878,0.905,0.554,0,0,0,36.59128212928772
rzeszow,train,pools,solarpanel,8440,66301,0.628,0.397,0.487,0.446,0.273,0,0,0,93.72764706611633
rzeszow,val,finloop,solar-panel,661,2767,0.896,0.786,0.837,0.824,0.583,0.88,0.73,0.798,10.180667400360107
rzeszow,val,ariel,solar-panel,661,2767,0.834,0.718,0.772,0.759,0.501,0,0,0,8.169376373291016
rzeszow,val,pools,solarpanel,661,2767,0.606,0.387,0.472,0.43,0.275,0,0,0,11.034644842147827
rzeszow,test,finloop,solar-panel,435,1692,0.92,0.895,0.907,0.929,0.657,0.861,0.839,0.85,9.395894765853882
rzeszow,test,ariel,solar-panel,435,1692,0.864,0.826,0.845,0.86,0.574,0,0,0,7.292824029922485
rzeszow,test,pools,solarpanel,435,1692,0.678,0.507,0.58,0.54,0.364,0,0,0,9.065751791000366
synth_old,train,finloop,solar-panel,150,374,0.396,0.275,0.325,0.273,0.115,0.254,0.184,0.214,6.621249675750732
synth_old,train,ariel,solar-panel,150,374,0.462,0.38,0.417,0.326,0.147,0,0,0,5.621006488800049
synth_old,train,pools,solarpanel,150,374,0.372,0.458,0.411,0.388,0.188,0,0,0,6.022443532943726
synth_old,val,finloop,solar-panel,12,35,0.501,0.571,0.534,0.538,0.259,0.361,0.429,0.392,5.242164134979248
synth_old,val,ariel,solar-panel,12,35,0.565,0.6,0.582,0.586,0.266,0,0,0,3.0504772663116455
synth_old,val,pools,solarpanel,12,35,0.668,0.543,0.599,0.637,0.34,0,0,0,3.3102867603302
synth_old,test,finloop,solar-panel,18,32,0.342,0.375,0.358,0.298,0.095,0.222,0.219,0.22,5.7128005027771
synth_old,test,ariel,solar-panel,18,32,0.337,0.25,0.287,0.272,0.108,0,0,0,3.025603771209717
synth_old,test,pools,solarpanel,18,32,0.435,0.469,0.451,0.355,0.159,0,0,0,3.8253326416015625
synth_new,train,finloop,solar-panel,789,789,0.065,0.03,0.042,0.013,0.002,0.0,0.0,0.0,51.86380219459534
synth_new,train,ariel,solar-panel,789,789,0.062,0.025,0.036,0.006,0.002,0,0,0,8.016534566879272
synth_new,train,pools,solarpanel,789,789,0.075,0.075,0.075,0.015,0.003,0,0,0,11.69018268585205
synth_new,val,finloop,solar-panel,225,225,0.031,0.027,0.029,0.008,0.001,0.0,0.0,0.0,21.68037486076355
synth_new,val,ariel,solar-panel,225,225,0.064,0.018,0.028,0.007,0.001,0,0,0,5.498399019241333
synth_new,val,pools,solarpanel,225,225,0.079,0.076,0.077,0.017,0.003,0,0,0,5.885230541229248
synth_new,test,finloop,solar-panel,114,114,0.126,0.053,0.074,0.019,0.003,0.0,0.0,0.0,15.427274465560913
synth_new,test,ariel,solar-panel,114,114,0.059,0.053,0.056,0.008,0.001,0,0,0,4.411012172698975
synth_new,test,pools,solarpanel,114,114,0.086,0.079,0.082,0.019,0.004,0,0,0,4.828027963638306
