dataset,model,area,time
pilot,finloop,0.299003928899765,13.14890718460083
pilot,ariel,0.4720483720302582,7.001543760299683
pilot,pools,0.2693115472793579,6.606464385986328
synth_test,finloop,0.38407468795776367,2.080944061279297
synth_test,ariel,0.48512688279151917,2.1512558460235596
synth_test,pools,0.46202388405799866,2.342456579208374
synth_train,finloop,3.153977394104004,17.403563499450684
synth_train,ariel,3.5750927925109863,17.444429397583008
synth_train,pools,3.6145942211151123,17.89954924583435
synth_valid,finloop,0.34779050946235657,1.4011754989624023
synth_valid,ariel,0.3296826183795929,1.3303561210632324
synth_valid,pools,0.4041161835193634,1.5367991924285889
