dataset,split,model,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
pilot,val,finloop,solar-panel,54,227,0.547,0.414,0.471,0.379,0.202,0.202,0.159,0.178,16.92003321647644
pilot,val,finloop_150,item,54,227,0.426,0.211,0.283,0.171,0.062,0.407,0.203,0.271,4.451029539108276
pilot,val,ariel,solar-panel,54,227,0.546,0.429,0.481,0.401,0.206,0,0,0,3.776984691619873
pilot,val,ariel_official,solar-panel,54,227,0.546,0.429,0.481,0.401,0.206,0,0,0,3.5365047454833984
pilot,val,pools,solarpanel,54,227,0.657,0.523,0.583,0.553,0.334,0,0,0,4.591973304748535
synth,train,finloop,solar-panel,150,374,0.396,0.275,0.325,0.273,0.115,0.254,0.184,0.214,6.785396575927734
synth,train,finloop_150,item,150,374,0.989,0.992,0.99,0.995,0.907,0.986,0.989,0.988,5.854132175445557
synth,train,ariel,solar-panel,150,374,0.462,0.38,0.417,0.326,0.147,0,0,0,4.624765396118164
synth,train,ariel_official,solar-panel,150,374,0.462,0.38,0.417,0.326,0.147,0,0,0,4.753317356109619
synth,train,pools,solarpanel,150,374,0.372,0.458,0.411,0.388,0.188,0,0,0,7.288355350494385
synth,val,finloop,solar-panel,12,35,0.501,0.571,0.534,0.538,0.259,0.361,0.429,0.392,3.9352807998657227
synth,val,finloop_150,item,12,35,0.919,0.743,0.822,0.823,0.473,0.919,0.743,0.822,3.739182710647583
synth,val,ariel,solar-panel,12,35,0.565,0.6,0.582,0.586,0.266,0,0,0,2.798845052719116
synth,val,ariel_official,solar-panel,12,35,0.565,0.6,0.582,0.586,0.266,0,0,0,2.8227767944335938
synth,val,pools,solarpanel,12,35,0.668,0.543,0.599,0.637,0.34,0,0,0,3.2586591243743896
synth,test,finloop,solar-panel,18,32,0.342,0.375,0.358,0.298,0.095,0.222,0.219,0.22,3.9526820182800293
synth,test,finloop_150,item,18,32,0.671,0.51,0.58,0.6,0.409,0.589,0.448,0.509,4.394330024719238
synth,test,ariel,solar-panel,18,32,0.337,0.25,0.287,0.272,0.108,0,0,0,3.068284749984741
synth,test,ariel_official,solar-panel,18,32,0.337,0.25,0.287,0.272,0.108,0,0,0,2.9038593769073486
synth,test,pools,solarpanel,18,32,0.435,0.469,0.451,0.355,0.159,0,0,0,3.421496629714966
