dataset,split,model,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
pilot,val,finloop,solar-panel,54,227,0.547,0.414,0.471,0.379,0.202,0.202,0.159,0.178,7.785744905471802
pilot,val,finloop_150,item,54,227,0.042,0.048,0.045,0.008,0.002,0.146,0.123,0.134,4.418005466461182
pilot,val,finloop_synth3,item,54,227,0.012,0.022,0.015,0.007,0.001,0.187,0.048,0.077,4.525540351867676
pilot,val,ariel,solar-panel,54,227,0.546,0.429,0.481,0.401,0.206,0,0,0,3.581686496734619
pilot,val,ariel2,item,54,227,0.369,0.256,0.302,0.216,0.096,0,0,0,3.2004308700561523
pilot,val,ariel3,item,54,227,0.024,0.066,0.035,0.016,0.004,0,0,0,3.0746634006500244
pilot,val,ariel42,item,54,227,0.018,0.044,0.025,0.006,0.001,0,0,0,3.2870259284973145
pilot,val,pools,solarpanel,54,227,0.657,0.523,0.583,0.553,0.334,0,0,0,5.127400875091553
rzeszow,val,finloop,solar-panel,661,2767,0.896,0.786,0.837,0.824,0.583,0.88,0.73,0.798,12.164981842041016
rzeszow,val,finloop_150,item,661,2767,0.258,0.15,0.189,0.113,0.028,0.301,0.173,0.22,9.224192142486572
rzeszow,val,finloop_synth3,item,661,2767,0.122,0.05,0.071,0.071,0.017,0.112,0.046,0.065,9.136233806610107
rzeszow,val,ariel,solar-panel,661,2767,0.834,0.718,0.772,0.759,0.501,0,0,0,7.944462537765503
rzeszow,val,ariel2,item,661,2767,0.639,0.585,0.611,0.584,0.34,0,0,0,7.248821020126343
rzeszow,val,ariel3,item,661,2767,0.058,0.098,0.073,0.04,0.011,0,0,0,7.011394262313843
rzeszow,val,ariel42,item,661,2767,0.21,0.125,0.156,0.087,0.022,0,0,0,6.855570554733276
rzeszow,val,pools,solarpanel,661,2767,0.606,0.387,0.472,0.43,0.275,0,0,0,11.070625305175781
rzeszow,test,finloop,solar-panel,435,1692,0.92,0.895,0.907,0.929,0.657,0.861,0.839,0.85,11.035898923873901
rzeszow,test,finloop_150,item,435,1692,0.203,0.157,0.177,0.093,0.022,0.272,0.187,0.222,8.939340829849243
rzeszow,test,finloop_synth3,item,435,1692,0.107,0.06,0.077,0.065,0.014,0.082,0.046,0.058,8.495246887207031
rzeszow,test,ariel,solar-panel,435,1692,0.864,0.826,0.845,0.86,0.574,0,0,0,7.4000842571258545
rzeszow,test,ariel2,item,435,1692,0.662,0.664,0.663,0.678,0.379,0,0,0,6.8594419956207275
rzeszow,test,ariel3,item,435,1692,0.066,0.126,0.087,0.047,0.012,0,0,0,6.544822454452515
rzeszow,test,ariel42,item,435,1692,0.207,0.148,0.172,0.1,0.025,0,0,0,6.686703681945801
rzeszow,test,pools,solarpanel,435,1692,0.678,0.507,0.58,0.54,0.364,0,0,0,8.747360467910767
synth_old,train,finloop,solar-panel,150,374,0.396,0.275,0.325,0.273,0.115,0.254,0.184,0.214,16.725916147232056
synth_old,train,finloop_150,item,150,374,0.164,0.142,0.152,0.074,0.018,0.464,0.222,0.3,6.5224761962890625
synth_old,train,finloop_synth3,item,150,374,0.136,0.07,0.092,0.059,0.017,0.394,0.102,0.162,6.158604383468628
synth_old,train,ariel,solar-panel,150,374,0.462,0.38,0.417,0.326,0.147,0,0,0,5.3707661628723145
synth_old,train,ariel2,item,150,374,0.362,0.404,0.382,0.292,0.127,0,0,0,5.030850887298584
synth_old,train,ariel3,item,150,374,0.059,0.123,0.079,0.04,0.012,0,0,0,4.472853660583496
synth_old,train,ariel42,item,150,374,0.191,0.139,0.161,0.077,0.019,0,0,0,4.448916912078857
synth_old,train,pools,solarpanel,150,374,0.372,0.458,0.411,0.388,0.188,0,0,0,5.718110799789429
synth_old,val,finloop,solar-panel,12,35,0.501,0.571,0.534,0.538,0.259,0.361,0.429,0.392,5.112468957901001
synth_old,val,finloop_150,item,12,35,0.205,0.143,0.168,0.086,0.018,0.52,0.371,0.433,3.9478583335876465
synth_old,val,finloop_synth3,item,12,35,0.048,0.029,0.036,0.025,0.007,0.19,0.114,0.143,3.7722342014312744
synth_old,val,ariel,solar-panel,12,35,0.565,0.6,0.582,0.586,0.266,0,0,0,3.133314371109009
synth_old,val,ariel2,item,12,35,0.564,0.592,0.578,0.532,0.255,0,0,0,2.8394904136657715
synth_old,val,ariel3,item,12,35,0.024,0.057,0.034,0.015,0.001,0,0,0,2.64628267288208
synth_old,val,ariel42,item,12,35,0.314,0.171,0.222,0.101,0.017,0,0,0,2.769291877746582
synth_old,val,pools,solarpanel,12,35,0.668,0.543,0.599,0.637,0.34,0,0,0,3.5991406440734863
synth_old,test,finloop,solar-panel,18,32,0.342,0.375,0.358,0.298,0.095,0.222,0.219,0.22,6.530378103256226
synth_old,test,finloop_150,item,18,32,0.199,0.094,0.128,0.065,0.022,0.341,0.156,0.214,3.9929871559143066
synth_old,test,finloop_synth3,item,18,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.146048545837402
synth_old,test,ariel,solar-panel,18,32,0.337,0.25,0.287,0.272,0.108,0,0,0,3.148911952972412
synth_old,test,ariel2,item,18,32,0.396,0.312,0.349,0.263,0.125,0,0,0,2.9631662368774414
synth_old,test,ariel3,item,18,32,0.023,0.031,0.027,0.014,0.006,0,0,0,2.75123929977417
synth_old,test,ariel42,item,18,32,0.249,0.188,0.214,0.15,0.034,0,0,0,2.710418939590454
synth_old,test,pools,solarpanel,18,32,0.435,0.469,0.451,0.355,0.159,0,0,0,4.049546480178833
synth_new,train,finloop,solar-panel,789,789,0.065,0.03,0.042,0.013,0.002,0.0,0.0,0.0,49.35919737815857
synth_new,train,finloop_150,item,789,789,0.991,0.963,0.977,0.985,0.693,0.99,0.962,0.976,10.563994407653809
synth_new,train,finloop_synth3,item,789,789,0.998,0.995,0.997,0.995,0.982,0.998,0.995,0.997,10.679709672927856
synth_new,train,ariel,solar-panel,789,789,0.062,0.025,0.036,0.006,0.002,0,0,0,8.310544967651367
synth_new,train,ariel2,item,789,789,0.406,0.372,0.388,0.275,0.091,0,0,0,7.88256311416626
synth_new,train,ariel3,item,789,789,0.997,0.986,0.991,0.994,0.886,0,0,0,7.8189239501953125
synth_new,train,ariel42,item,789,789,0.917,0.897,0.907,0.933,0.556,0,0,0,7.839405298233032
synth_new,train,pools,solarpanel,789,789,0.075,0.075,0.075,0.015,0.003,0,0,0,11.331085443496704
synth_new,val,finloop,solar-panel,225,225,0.031,0.027,0.029,0.008,0.001,0.0,0.0,0.0,22.01154851913452
synth_new,val,finloop_150,item,225,225,0.964,0.947,0.955,0.985,0.626,0.955,0.938,0.947,7.256659269332886
synth_new,val,finloop_synth3,item,225,225,1.0,0.996,0.998,0.995,0.873,1.0,0.996,0.998,6.911571502685547
synth_new,val,ariel,solar-panel,225,225,0.064,0.018,0.028,0.007,0.001,0,0,0,5.4224159717559814
synth_new,val,ariel2,item,225,225,0.354,0.302,0.326,0.255,0.077,0,0,0,5.501654624938965
synth_new,val,ariel3,item,225,225,0.998,0.982,0.99,0.995,0.785,0,0,0,5.238372564315796
synth_new,val,ariel42,item,225,225,0.896,0.879,0.887,0.948,0.565,0,0,0,5.320210933685303
synth_new,val,pools,solarpanel,225,225,0.079,0.076,0.077,0.017,0.003,0,0,0,6.087034463882446
synth_new,test,finloop,solar-panel,114,114,0.126,0.053,0.074,0.019,0.003,0.0,0.0,0.0,14.107261657714844
synth_new,test,finloop_150,item,114,114,0.974,0.974,0.974,0.982,0.629,0.974,0.974,0.974,5.82840633392334
synth_new,test,finloop_synth3,item,114,114,0.999,1.0,1.0,0.995,0.901,0.999,1.0,1.0,5.519644260406494
synth_new,test,ariel,solar-panel,114,114,0.059,0.053,0.056,0.008,0.001,0,0,0,4.449561357498169
synth_new,test,ariel2,item,114,114,0.397,0.439,0.417,0.363,0.125,0,0,0,4.287189245223999
synth_new,test,ariel3,item,114,114,1.0,0.999,1.0,0.995,0.814,0,0,0,4.269742250442505
synth_new,test,ariel42,item,114,114,0.897,0.895,0.896,0.93,0.538,0,0,0,4.212423324584961
synth_new,test,pools,solarpanel,114,114,0.086,0.079,0.082,0.019,0.004,0,0,0,5.055252552032471
