dataset,split,model,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
pilot,val,finloop,solar-panel,54,227,0.547,0.414,0.471,0.379,0.202,0.202,0.159,0.178,8.093780279159546
pilot,val,ft21SGD,pv,54,227,0.277,0.139,0.185,0.121,0.049,0.216,0.11,0.146,4.789109230041504
pilot,val,ft27_AdamW_finloop.pt,pv,54,227,0.464,0.167,0.246,0.152,0.061,0.486,0.175,0.258,4.581122636795044
pilot,val,ft21v8_SGD,pv,54,227,0.277,0.139,0.185,0.121,0.049,0.216,0.11,0.146,4.8611369132995605
pilot,val,ft27_SGD_finloop.pt,pv,54,227,0.224,0.25,0.236,0.155,0.061,0.209,0.233,0.22,5.033299207687378
pilot,val,ft20_SGD,pv,54,227,0.388,0.12,0.184,0.143,0.056,0.305,0.097,0.147,5.0049967765808105
pilot,val,ft21_SGD,pv,54,227,0.277,0.139,0.185,0.121,0.049,0.216,0.11,0.146,5.225659608840942
rzeszow,train,finloop,solar-panel,8440,66301,0.963,0.929,0.946,0.961,0.642,0.936,0.871,0.902,62.12397861480713
rzeszow,train,ft21SGD,pv,8440,66301,0.637,0.421,0.507,0.445,0.264,0.621,0.407,0.492,70.12927651405334
rzeszow,train,ft27_AdamW_finloop.pt,pv,8440,66301,0.9,0.815,0.855,0.892,0.595,0.881,0.775,0.824,51.55134296417236
rzeszow,train,ft21v8_SGD,pv,8440,66301,0.637,0.421,0.507,0.445,0.264,0.621,0.407,0.492,70.44997072219849
rzeszow,train,ft27_SGD_finloop.pt,pv,8440,66301,0.944,0.897,0.92,0.947,0.62,0.929,0.857,0.892,52.047149419784546
rzeszow,train,ft20_SGD,pv,8440,66301,0.642,0.43,0.515,0.454,0.271,0.63,0.417,0.502,69.91386580467224
rzeszow,train,ft21_SGD,pv,8440,66301,0.637,0.421,0.507,0.445,0.264,0.621,0.407,0.492,70.22544455528259
rzeszow,val,finloop,solar-panel,661,2767,0.896,0.786,0.837,0.824,0.583,0.88,0.73,0.798,13.642934322357178
rzeszow,val,ft21SGD,pv,661,2767,0.675,0.49,0.568,0.529,0.357,0.664,0.482,0.559,12.752216577529907
rzeszow,val,ft27_AdamW_finloop.pt,pv,661,2767,0.857,0.698,0.769,0.752,0.529,0.834,0.668,0.742,10.622718572616577
rzeszow,val,ft21v8_SGD,pv,661,2767,0.675,0.49,0.568,0.529,0.357,0.664,0.482,0.559,12.294543027877808
rzeszow,val,ft27_SGD_finloop.pt,pv,661,2767,0.872,0.753,0.808,0.798,0.571,0.88,0.713,0.788,10.478444337844849
rzeszow,val,ft20_SGD,pv,661,2767,0.705,0.486,0.576,0.529,0.355,0.677,0.482,0.563,11.980031251907349
rzeszow,val,ft21_SGD,pv,661,2767,0.675,0.49,0.568,0.529,0.357,0.664,0.482,0.559,12.063186168670654
rzeszow,test,finloop,solar-panel,435,1692,0.92,0.895,0.907,0.929,0.657,0.861,0.839,0.85,12.813273668289185
rzeszow,test,ft21SGD,pv,435,1692,0.906,0.837,0.87,0.917,0.688,0.884,0.797,0.838,10.37674856185913
rzeszow,test,ft27_AdamW_finloop.pt,pv,435,1692,0.966,0.928,0.947,0.973,0.805,0.928,0.886,0.907,9.325886249542236
rzeszow,test,ft21v8_SGD,pv,435,1692,0.906,0.837,0.87,0.917,0.688,0.884,0.797,0.838,10.6850905418396
rzeszow,test,ft27_SGD_finloop.pt,pv,435,1692,0.93,0.906,0.918,0.943,0.709,0.909,0.854,0.88,9.100756168365479
rzeszow,test,ft20_SGD,pv,435,1692,0.919,0.854,0.885,0.925,0.697,0.909,0.81,0.857,10.426385402679443
rzeszow,test,ft21_SGD,pv,435,1692,0.906,0.837,0.87,0.917,0.688,0.884,0.797,0.838,11.000932455062866
synth_old,train,finloop,solar-panel,150,374,0.396,0.275,0.325,0.273,0.115,0.254,0.184,0.214,8.935354709625244
synth_old,train,ft21SGD,pv,150,374,0.429,0.281,0.339,0.277,0.134,0.363,0.251,0.297,7.490696907043457
synth_old,train,ft27_AdamW_finloop.pt,pv,150,374,0.32,0.217,0.258,0.166,0.066,0.24,0.19,0.212,6.364307641983032
synth_old,train,ft21v8_SGD,pv,150,374,0.429,0.281,0.339,0.277,0.134,0.363,0.251,0.297,7.280515432357788
synth_old,train,ft27_SGD_finloop.pt,pv,150,374,0.244,0.225,0.234,0.172,0.073,0.226,0.209,0.217,6.583271026611328
synth_old,train,ft20_SGD,pv,150,374,0.329,0.289,0.308,0.254,0.115,0.398,0.227,0.289,7.011253118515015
