dataset,split,model,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
pilot,val,finloop,solar-panel,54,227,0.547,0.414,0.471,0.379,0.202,0.202,0.159,0.178,8.783149480819702
pilot,val,ft21SGD,pv,54,227,0.277,0.139,0.185,0.121,0.049,0.216,0.11,0.146,4.759448289871216
pilot,val,ft29_AdamW,pv,54,227,0.309,0.097,0.148,0.11,0.042,0.128,0.123,0.126,4.827020883560181
pilot,val,ft29_AdamW_finloop.pt,pv,54,227,0.372,0.216,0.273,0.179,0.058,0.355,0.207,0.262,4.565526723861694
pilot,val,ft29_SGD,pv,54,227,0.29,0.145,0.194,0.132,0.06,0.235,0.119,0.158,5.106308698654175
pilot,val,ft29_SGD_finloop.pt,pv,54,227,0.297,0.264,0.28,0.191,0.081,0.416,0.233,0.299,4.874351263046265
pilot,val,ft30_AdamW,pv,54,227,0.272,0.15,0.193,0.103,0.048,0.15,0.093,0.114,5.224939346313477
pilot,val,ft30_AdamW_finloop.pt,pv,54,227,0.321,0.304,0.312,0.237,0.085,0.451,0.229,0.304,4.901930332183838
pilot,val,ft30_SGD,pv,54,227,0.289,0.172,0.215,0.123,0.055,0.26,0.159,0.197,5.515594482421875
pilot,val,ft30_SGD_finloop.pt,pv,54,227,0.407,0.269,0.324,0.218,0.088,0.413,0.261,0.32,5.277709722518921
pilot,val,ft31_AdamW,pv,54,227,0.305,0.141,0.193,0.121,0.052,0.224,0.11,0.148,5.012018442153931
pilot,val,ft31_AdamW_finloop.pt,pv,54,227,0.328,0.273,0.298,0.227,0.082,0.385,0.233,0.291,5.220182180404663
pilot,val,ft31_SGD,pv,54,227,0.289,0.165,0.21,0.123,0.055,0.253,0.15,0.188,5.201383590698242
pilot,val,ft31_SGD_finloop.pt,pv,54,227,0.382,0.278,0.322,0.22,0.089,0.391,0.251,0.306,5.400892972946167
pilot,val,ft32_AdamW,pv,54,227,0.155,0.09,0.114,0.058,0.028,0.103,0.062,0.077,5.20841908454895
pilot,val,ft32_AdamW_finloop.pt,pv,54,227,0.385,0.304,0.34,0.248,0.086,0.334,0.278,0.303,4.951247692108154
pilot,val,ft32_SGD,pv,54,227,0.275,0.137,0.182,0.123,0.051,0.256,0.137,0.178,5.141676187515259
pilot,val,ft32_SGD_finloop.pt,pv,54,227,0.331,0.313,0.321,0.212,0.083,0.362,0.308,0.333,5.063333511352539
pilot,val,ft33_AdamW,pv,54,227,0.117,0.185,0.143,0.123,0.055,0.123,0.194,0.15,5.24143648147583
pilot,val,ft33_AdamW_finloop.pt,pv,54,227,0.406,0.241,0.302,0.232,0.097,0.389,0.241,0.298,4.9116785526275635
pilot,val,ft33_SGD,pv,54,227,0.331,0.159,0.214,0.134,0.057,0.275,0.145,0.19,5.447089195251465
pilot,val,ft33_SGD_finloop.pt,pv,54,227,0.423,0.295,0.348,0.25,0.108,0.364,0.256,0.3,5.330899953842163
rzeszow,train,finloop,solar-panel,8440,66301,0.963,0.929,0.946,0.961,0.642,0.936,0.871,0.902,122.89844393730164
rzeszow,train,ft21SGD,pv,8440,66301,0.637,0.421,0.507,0.445,0.264,0.621,0.407,0.492,70.60303378105164
rzeszow,train,ft29_AdamW,pv,8440,66301,0.635,0.4,0.491,0.431,0.263,0.612,0.381,0.469,69.85393404960632
rzeszow,train,ft29_AdamW_finloop.pt,pv,8440,66301,0.894,0.803,0.846,0.885,0.565,0.876,0.762,0.815,52.40875506401062
rzeszow,train,ft29_SGD,pv,8440,66301,0.577,0.408,0.478,0.415,0.239,0.566,0.394,0.465,73.92210125923157
rzeszow,train,ft29_SGD_finloop.pt,pv,8440,66301,0.946,0.895,0.92,0.946,0.621,0.926,0.856,0.889,52.91585731506348
rzeszow,train,ft30_AdamW,pv,8440,66301,0.637,0.42,0.506,0.442,0.265,0.619,0.404,0.489,70.46557402610779
rzeszow,train,ft30_AdamW_finloop.pt,pv,8440,66301,0.894,0.817,0.854,0.891,0.566,0.881,0.782,0.829,52.06403851509094
rzeszow,train,ft30_SGD,pv,8440,66301,0.565,0.395,0.465,0.403,0.23,0.553,0.383,0.453,74.14932131767273
rzeszow,train,ft30_SGD_finloop.pt,pv,8440,66301,0.941,0.892,0.916,0.944,0.617,0.923,0.852,0.886,53.706554889678955
rzeszow,train,ft31_AdamW,pv,8440,66301,0.63,0.42,0.504,0.443,0.264,0.614,0.404,0.488,70.31157636642456
rzeszow,train,ft31_AdamW_finloop.pt,pv,8440,66301,0.895,0.817,0.854,0.891,0.565,0.876,0.777,0.824,52.15772771835327
rzeszow,train,ft31_SGD,pv,8440,66301,0.567,0.399,0.468,0.406,0.232,0.556,0.386,0.456,73.33987522125244
rzeszow,train,ft31_SGD_finloop.pt,pv,8440,66301,0.942,0.892,0.917,0.944,0.618,0.925,0.851,0.886,53.74842095375061
rzeszow,train,ft32_AdamW,pv,8440,66301,0.62,0.412,0.495,0.431,0.255,0.603,0.392,0.475,70.75737881660461
rzeszow,train,ft32_AdamW_finloop.pt,pv,8440,66301,0.889,0.787,0.835,0.872,0.548,0.874,0.751,0.808,52.40702438354492
rzeszow,train,ft32_SGD,pv,8440,66301,0.554,0.398,0.463,0.398,0.225,0.543,0.386,0.451,73.7745349407196
rzeszow,train,ft32_SGD_finloop.pt,pv,8440,66301,0.939,0.886,0.912,0.941,0.609,0.925,0.848,0.885,53.56719899177551
rzeszow,train,ft33_AdamW,pv,8440,66301,0.656,0.418,0.511,0.451,0.276,0.641,0.402,0.494,69.92618036270142
rzeszow,train,ft33_AdamW_finloop.pt,pv,8440,66301,0.919,0.845,0.88,0.916,0.613,0.91,0.812,0.858,52.52494835853577
rzeszow,train,ft33_SGD,pv,8440,66301,0.577,0.403,0.474,0.41,0.235,0.565,0.391,0.462,73.12024593353271
rzeszow,train,ft33_SGD_finloop.pt,pv,8440,66301,0.948,0.901,0.924,0.949,0.629,0.932,0.859,0.894,53.69859290122986
rzeszow,val,finloop,solar-panel,661,2767,0.896,0.786,0.837,0.824,0.583,0.88,0.73,0.798,18.22714614868164
rzeszow,val,ft21SGD,pv,661,2767,0.675,0.49,0.568,0.529,0.357,0.664,0.482,0.559,12.097220182418823
rzeszow,val,ft29_AdamW,pv,661,2767,0.685,0.478,0.563,0.487,0.317,0.656,0.457,0.539,12.321093797683716
rzeszow,val,ft29_AdamW_finloop.pt,pv,661,2767,0.849,0.713,0.775,0.757,0.528,0.819,0.677,0.741,11.055732488632202
rzeszow,val,ft29_SGD,pv,661,2767,0.626,0.482,0.545,0.497,0.329,0.614,0.471,0.533,12.827374696731567
rzeszow,val,ft29_SGD_finloop.pt,pv,661,2767,0.882,0.746,0.808,0.797,0.56,0.886,0.706,0.786,10.911788702011108
rzeszow,val,ft30_AdamW,pv,661,2767,0.697,0.469,0.561,0.502,0.32,0.676,0.452,0.541,12.742853879928589
rzeszow,val,ft30_AdamW_finloop.pt,pv,661,2767,0.846,0.707,0.77,0.759,0.521,0.84,0.678,0.75,10.811402082443237
rzeszow,val,ft30_SGD,pv,661,2767,0.569,0.462,0.51,0.463,0.306,0.551,0.453,0.497,13.460607051849365
rzeszow,val,ft30_SGD_finloop.pt,pv,661,2767,0.876,0.743,0.804,0.791,0.552,0.872,0.709,0.782,10.643692255020142
rzeszow,val,ft31_AdamW,pv,661,2767,0.694,0.475,0.564,0.501,0.322,0.677,0.462,0.549,12.958320379257202
rzeszow,val,ft31_AdamW_finloop.pt,pv,661,2767,0.834,0.717,0.771,0.756,0.519,0.831,0.685,0.751,10.830543041229248
rzeszow,val,ft31_SGD,pv,661,2767,0.6,0.457,0.519,0.472,0.311,0.582,0.447,0.506,13.398788452148438
rzeszow,val,ft31_SGD_finloop.pt,pv,661,2767,0.871,0.747,0.804,0.792,0.553,0.884,0.7,0.782,10.864948749542236
rzeszow,val,ft32_AdamW,pv,661,2767,0.66,0.47,0.549,0.478,0.306,0.637,0.453,0.529,12.838976621627808
rzeszow,val,ft32_AdamW_finloop.pt,pv,661,2767,0.828,0.68,0.747,0.73,0.492,0.811,0.655,0.725,10.693361520767212
rzeszow,val,ft32_SGD,pv,661,2767,0.568,0.442,0.497,0.444,0.29,0.548,0.428,0.481,13.185422420501709
rzeszow,val,ft32_SGD_finloop.pt,pv,661,2767,0.876,0.731,0.797,0.786,0.542,0.86,0.704,0.774,10.911009788513184
rzeszow,val,ft33_AdamW,pv,661,2767,0.696,0.475,0.564,0.506,0.335,0.668,0.472,0.553,12.33654522895813
rzeszow,val,ft33_AdamW_finloop.pt,pv,661,2767,0.861,0.728,0.789,0.776,0.549,0.866,0.683,0.764,10.556018352508545
rzeszow,val,ft33_SGD,pv,661,2767,0.589,0.478,0.528,0.482,0.319,0.573,0.465,0.514,12.935642004013062
rzeszow,val,ft33_SGD_finloop.pt,pv,661,2767,0.877,0.755,0.811,0.796,0.562,0.894,0.707,0.789,11.002531051635742
rzeszow,test,finloop,solar-panel,435,1692,0.92,0.895,0.907,0.929,0.657,0.861,0.839,0.85,14.900458574295044
rzeszow,test,ft21SGD,pv,435,1692,0.906,0.837,0.87,0.917,0.688,0.884,0.797,0.838,10.890517234802246
rzeszow,test,ft29_AdamW,pv,435,1692,0.917,0.868,0.892,0.929,0.714,0.892,0.817,0.853,10.851636409759521
rzeszow,test,ft29_AdamW_finloop.pt,pv,435,1692,0.939,0.89,0.914,0.95,0.724,0.889,0.84,0.864,9.69992709159851
rzeszow,test,ft29_SGD,pv,435,1692,0.792,0.677,0.73,0.763,0.539,0.791,0.648,0.713,11.3189218044281
rzeszow,test,ft29_SGD_finloop.pt,pv,435,1692,0.901,0.892,0.897,0.925,0.67,0.876,0.835,0.855,9.410879135131836
rzeszow,test,ft30_AdamW,pv,435,1692,0.916,0.807,0.858,0.908,0.676,0.91,0.791,0.846,10.688483476638794
rzeszow,test,ft30_AdamW_finloop.pt,pv,435,1692,0.917,0.884,0.9,0.939,0.695,0.901,0.842,0.871,9.542438507080078
rzeszow,test,ft30_SGD,pv,435,1692,0.747,0.587,0.657,0.677,0.466,0.761,0.563,0.647,11.302794218063354
rzeszow,test,ft30_SGD_finloop.pt,pv,435,1692,0.9,0.876,0.888,0.918,0.657,0.868,0.83,0.849,9.547255516052246
rzeszow,test,ft31_AdamW,pv,435,1692,0.92,0.83,0.873,0.92,0.694,0.9,0.805,0.85,11.091284036636353
rzeszow,test,ft31_AdamW_finloop.pt,pv,435,1692,0.918,0.885,0.901,0.941,0.701,0.911,0.836,0.872,9.426000595092773
rzeszow,test,ft31_SGD,pv,435,1692,0.754,0.613,0.676,0.694,0.481,0.742,0.596,0.661,11.506484270095825
rzeszow,test,ft31_SGD_finloop.pt,pv,435,1692,0.906,0.877,0.891,0.92,0.66,0.862,0.833,0.847,9.594476699829102
rzeszow,test,ft32_AdamW,pv,435,1692,0.875,0.791,0.831,0.871,0.639,0.872,0.773,0.819,11.024126052856445
rzeszow,test,ft32_AdamW_finloop.pt,pv,435,1692,0.883,0.863,0.873,0.921,0.676,0.888,0.799,0.841,9.599701642990112
rzeszow,test,ft32_SGD,pv,435,1692,0.658,0.572,0.612,0.612,0.423,0.675,0.555,0.609,11.573613166809082
rzeszow,test,ft32_SGD_finloop.pt,pv,435,1692,0.896,0.87,0.883,0.915,0.643,0.862,0.824,0.843,9.880557537078857
rzeszow,test,ft33_AdamW,pv,435,1692,0.923,0.882,0.902,0.943,0.74,0.933,0.829,0.878,11.010465145111084
rzeszow,test,ft33_AdamW_finloop.pt,pv,435,1692,0.937,0.911,0.924,0.961,0.747,0.905,0.865,0.885,9.774399995803833
rzeszow,test,ft33_SGD,pv,435,1692,0.791,0.632,0.703,0.74,0.517,0.766,0.61,0.679,11.255656719207764
rzeszow,test,ft33_SGD_finloop.pt,pv,435,1692,0.911,0.887,0.899,0.927,0.673,0.872,0.842,0.857,10.148910522460938
synth_old,train,finloop,solar-panel,150,374,0.396,0.275,0.325,0.273,0.115,0.254,0.184,0.214,10.297110557556152
synth_old,train,ft21SGD,pv,150,374,0.429,0.281,0.339,0.277,0.134,0.363,0.251,0.297,7.7247607707977295
synth_old,train,ft29_AdamW,pv,150,374,0.307,0.152,0.204,0.141,0.062,0.231,0.115,0.154,7.027772426605225
synth_old,train,ft29_AdamW_finloop.pt,pv,150,374,0.305,0.278,0.291,0.215,0.083,0.246,0.222,0.233,6.607682704925537
synth_old,train,ft29_SGD,pv,150,374,0.365,0.332,0.348,0.262,0.122,0.293,0.246,0.268,8.13305401802063
