dataset,split,model,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
pilot,val,finloop,solar-panel,54,227,0.547,0.414,0.471,0.379,0.202,0.202,0.159,0.178,7.4798805713653564
pilot,val,ft21SGD,pv,54,227,0.277,0.139,0.185,0.121,0.049,0.216,0.11,0.146,1.6497011184692383
pilot,val,ft29_AdamW,pv,54,227,0.309,0.097,0.148,0.11,0.042,0.128,0.123,0.126,1.704841136932373
pilot,val,ft29_SGD_finloop.pt,pv,54,227,0.297,0.264,0.28,0.191,0.081,0.416,0.233,0.299,1.236454725265503
pilot,val,ft30_SGD_finloop.pt,pv,54,227,0.407,0.269,0.324,0.218,0.088,0.413,0.261,0.32,1.1995365619659424
pilot,val,ft32_SGD_finloop.pt,pv,54,227,0.331,0.313,0.321,0.212,0.083,0.362,0.308,0.333,1.2708919048309326
pilot,val,ft27_AdamW,pv,54,227,0.337,0.159,0.216,0.13,0.056,0.328,0.154,0.21,1.6065232753753662
pilot,val,ft33_SGD_finloop.pt,pv,54,227,0.423,0.295,0.348,0.25,0.108,0.364,0.256,0.3,1.291902780532837
rzeszow,train,finloop,solar-panel,8440,66301,0.963,0.929,0.946,0.961,0.642,0.936,0.871,0.902,419.80879044532776
rzeszow,train,ft21SGD,pv,8440,66301,0.637,0.421,0.507,0.445,0.264,0.621,0.407,0.492,59.57666850090027
rzeszow,train,ft29_AdamW,pv,8440,66301,0.635,0.4,0.491,0.431,0.263,0.612,0.381,0.469,57.960596799850464
rzeszow,train,ft29_SGD_finloop.pt,pv,8440,66301,0.946,0.895,0.92,0.946,0.621,0.926,0.856,0.889,40.378910064697266
rzeszow,train,ft30_SGD_finloop.pt,pv,8440,66301,0.941,0.892,0.916,0.944,0.617,0.923,0.852,0.886,40.527177572250366
rzeszow,train,ft32_SGD_finloop.pt,pv,8440,66301,0.939,0.886,0.912,0.941,0.609,0.925,0.848,0.885,40.36703562736511
rzeszow,train,ft27_AdamW,pv,8440,66301,0.628,0.4,0.489,0.438,0.261,0.603,0.374,0.462,58.124794483184814
rzeszow,train,ft33_SGD_finloop.pt,pv,8440,66301,0.948,0.901,0.924,0.949,0.629,0.932,0.859,0.894,40.17954421043396
rzeszow,val,finloop,solar-panel,661,2767,0.896,0.786,0.837,0.824,0.583,0.88,0.73,0.798,34.278624296188354
rzeszow,val,ft21SGD,pv,661,2767,0.675,0.49,0.568,0.529,0.357,0.664,0.482,0.559,6.4841694831848145
rzeszow,val,ft29_AdamW,pv,661,2767,0.685,0.478,0.563,0.487,0.317,0.656,0.457,0.539,6.396827936172485
rzeszow,val,ft29_SGD_finloop.pt,pv,661,2767,0.882,0.746,0.808,0.797,0.56,0.886,0.706,0.786,4.573012113571167
rzeszow,val,ft30_SGD_finloop.pt,pv,661,2767,0.876,0.743,0.804,0.791,0.552,0.872,0.709,0.782,4.5524468421936035
