dataset,split,model,Class,Images,Instances,Box-P,Box-R,Box-F1,Box-mAP50,Box-mAP50-95,Mask-P,Mask-R,Mask-F1,Mask-mAP50,Mask-mAP50-95,t
pilot,val,finloop,solar-panel,54,227,0.547,0.414,0.471,0.379,0.202,0.202,0.159,0.178,0.07118588378357957,0.015130648479573103,7.8899266719818115
pilot,val,ft21SGD,pv,54,227,0.277,0.139,0.185,0.121,0.049,0.216,0.11,0.146,0.08657240662104787,0.032336850227296036,5.22844672203064
pilot,val,ft29_AdamW,pv,54,227,0.309,0.097,0.148,0.11,0.042,0.128,0.123,0.126,0.07644183975789626,0.028668673840595654,4.852725028991699
pilot,val,ft29_AdamW_finloop.pt,pv,54,227,0.372,0.216,0.273,0.179,0.058,0.355,0.207,0.262,0.15895304692566803,0.050157885796825216,4.717668294906616
pilot,val,ft29_SGD,pv,54,227,0.29,0.145,0.194,0.132,0.06,0.235,0.119,0.158,0.11463553455483472,0.034955244147572374,5.07313084602356
pilot,val,ft29_SGD_finloop.pt,pv,54,227,0.297,0.264,0.28,0.191,0.081,0.416,0.233,0.299,0.2202089323442148,0.06900283788970402,5.043386936187744
pilot,val,ft30_AdamW,pv,54,227,0.272,0.15,0.193,0.103,0.048,0.15,0.093,0.114,0.04709566011098608,0.015880638907513085,5.365852117538452
pilot,val,ft30_AdamW_finloop.pt,pv,54,227,0.321,0.304,0.312,0.237,0.085,0.451,0.229,0.304,0.2151951591270172,0.06270004717277088,5.096940994262695
pilot,val,ft30_SGD,pv,54,227,0.289,0.172,0.215,0.123,0.055,0.26,0.159,0.197,0.10596325086020066,0.033047965145417954,5.6272125244140625
pilot,val,ft30_SGD_finloop.pt,pv,54,227,0.407,0.269,0.324,0.218,0.088,0.413,0.261,0.32,0.22402197164400423,0.0641953450798868,5.372499227523804
pilot,val,ft31_AdamW,pv,54,227,0.305,0.141,0.193,0.121,0.052,0.224,0.11,0.148,0.07898395341748003,0.025646040067912868,5.366046667098999
pilot,val,ft31_AdamW_finloop.pt,pv,54,227,0.328,0.273,0.298,0.227,0.082,0.385,0.233,0.291,0.2120887868427988,0.0637730091308402,5.1348865032196045
pilot,val,ft31_SGD,pv,54,227,0.289,0.165,0.21,0.123,0.055,0.253,0.15,0.188,0.1055436335708253,0.032444541892546794,5.302653551101685
pilot,val,ft31_SGD_finloop.pt,pv,54,227,0.382,0.278,0.322,0.22,0.089,0.391,0.251,0.306,0.22668513710514726,0.06475105862853704,5.42877197265625
pilot,val,ft32_AdamW,pv,54,227,0.155,0.09,0.114,0.058,0.028,0.103,0.062,0.077,0.03901906908392573,0.014661035260761726,5.271971225738525
pilot,val,ft32_AdamW_finloop.pt,pv,54,227,0.385,0.304,0.34,0.248,0.086,0.334,0.278,0.303,0.22427479636404507,0.07717998824661174,5.330409049987793
pilot,val,ft32_SGD,pv,54,227,0.275,0.137,0.182,0.123,0.051,0.256,0.137,0.178,0.10244404440949448,0.030236893768655643,5.2946717739105225
pilot,val,ft32_SGD_finloop.pt,pv,54,227,0.331,0.313,0.321,0.212,0.083,0.362,0.308,0.333,0.21545395269281667,0.06514224085728887,5.416496753692627
pilot,val,ft27_AdamW,pv,54,227,0.337,0.159,0.216,0.13,0.056,0.328,0.154,0.21,0.10754711529305234,0.03100270827226085,5.2264564037323
pilot,val,ft33_AdamW,pv,54,227,0.117,0.185,0.143,0.123,0.055,0.123,0.194,0.15,0.12233761211632883,0.04447683740384124,5.119194269180298
pilot,val,ft33_AdamW_finloop.pt,pv,54,227,0.406,0.241,0.302,0.232,0.097,0.389,0.241,0.298,0.21364289078222398,0.06934696515831884,5.294973850250244
pilot,val,ft33_SGD,pv,54,227,0.331,0.159,0.214,0.134,0.057,0.275,0.145,0.19,0.11810183343353027,0.03247943287808126,5.347949266433716
pilot,val,ft33_SGD_finloop.pt,pv,54,227,0.423,0.295,0.348,0.25,0.108,0.364,0.256,0.3,0.2042282544379137,0.053148698413901144,5.62769627571106
pilot,val,ft43cos_AdamW_finloop.pt,pv,54,227,0.368,0.282,0.319,0.213,0.078,0.381,0.273,0.318,0.2377152188512852,0.07721593956078524,5.0870044231414795
