dataset,split,model,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
pilot,val,finloop,solar-panel,54,227,0.547,0.414,0.471,0.379,0.202,0.202,0.159,0.178,13.514599800109863
pilot,val,ft21SGD,pv,54,227,0.277,0.139,0.185,0.121,0.049,0.216,0.11,0.146,0,0,0,5.5479817390441895
pilot,val,ariel,solar-panel,54,227,0.546,0.429,0.481,0.401,0.206,0,0,0,3.6959569454193115
pilot,val,pools,solarpanel,54,227,0.657,0.523,0.583,0.553,0.334,0,0,0,4.938986539840698
rzeszow,train,finloop,solar-panel,8440,66301,0.963,0.929,0.946,0.961,0.642,0.936,0.871,0.902,296.13214635849
rzeszow,train,ft21SGD,pv,8440,66301,0.637,0.421,0.507,0.445,0.264,0.621,0.407,0.492,0,0,0,69.74671983718872
rzeszow,train,ariel,solar-panel,8440,66301,0.916,0.843,0.878,0.905,0.554,0,0,0,36.588186502456665
rzeszow,train,pools,solarpanel,8440,66301,0.628,0.397,0.487,0.446,0.273,0,0,0,94.23310089111328
rzeszow,val,finloop,solar-panel,661,2767,0.896,0.786,0.837,0.824,0.583,0.88,0.73,0.798,33.50802254676819
rzeszow,val,ft21SGD,pv,661,2767,0.675,0.49,0.568,0.529,0.357,0.664,0.482,0.559,0,0,0,11.878448486328125
rzeszow,val,ariel,solar-panel,661,2767,0.834,0.718,0.772,0.759,0.501,0,0,0,7.835146427154541
rzeszow,val,pools,solarpanel,661,2767,0.606,0.387,0.472,0.43,0.275,0,0,0,11.028480529785156
rzeszow,test,finloop,solar-panel,435,1692,0.92,0.895,0.907,0.929,0.657,0.861,0.839,0.85,28.40769624710083
rzeszow,test,ft21SGD,pv,435,1692,0.906,0.837,0.87,0.917,0.688,0.884,0.797,0.838,0,0,0,10.006232261657715
rzeszow,test,ariel,solar-panel,435,1692,0.864,0.826,0.845,0.86,0.574,0,0,0,7.5838963985443115
rzeszow,test,pools,solarpanel,435,1692,0.678,0.507,0.58,0.54,0.364,0,0,0,8.784158945083618
synth_old,train,finloop,solar-panel,150,374,0.396,0.275,0.325,0.273,0.115,0.254,0.184,0.214,15.584707975387573
synth_old,train,ft21SGD,pv,150,374,0.429,0.281,0.339,0.277,0.134,0.363,0.251,0.297,0,0,0,7.1303606033325195
synth_old,train,ariel,solar-panel,150,374,0.462,0.38,0.417,0.326,0.147,0,0,0,5.801471471786499
synth_old,train,pools,solarpanel,150,374,0.372,0.458,0.411,0.388,0.188,0,0,0,5.880110740661621
synth_old,val,finloop,solar-panel,12,35,0.501,0.571,0.534,0.538,0.259,0.361,0.429,0.392,4.7051544189453125
synth_old,val,ft21SGD,pv,12,35,0.688,0.686,0.687,0.674,0.355,0.646,0.6,0.622,0,0,0,4.245218753814697
synth_old,val,ariel,solar-panel,12,35,0.565,0.6,0.582,0.586,0.266,0,0,0,2.9695990085601807
synth_old,val,pools,solarpanel,12,35,0.668,0.543,0.599,0.637,0.34,0,0,0,3.281949043273926
synth_old,test,finloop,solar-panel,18,32,0.342,0.375,0.358,0.298,0.095,0.222,0.219,0.22,5.617000102996826
synth_old,test,ft21SGD,pv,18,32,0.441,0.469,0.455,0.379,0.19,0.494,0.25,0.332,0,0,0,4.327573537826538
synth_old,test,ariel,solar-panel,18,32,0.337,0.25,0.287,0.272,0.108,0,0,0,3.204590320587158
synth_old,test,pools,solarpanel,18,32,0.435,0.469,0.451,0.355,0.159,0,0,0,5.486429452896118
synth_new,train,finloop,solar-panel,789,789,0.062,0.027,0.037,0.008,0.001,0.0,0.0,0.0,49.57600259780884
synth_new,train,ft21SGD,pv,789,789,0.999,0.991,0.995,0.995,0.912,0.999,0.991,0.995,0,0,0,12.440945625305176
synth_new,train,ariel,solar-panel,789,789,0.042,0.025,0.032,0.005,0.001,0,0,0,8.365571975708008
synth_new,train,pools,solarpanel,789,789,0.076,0.063,0.069,0.015,0.003,0,0,0,11.608843564987183
synth_new,val,finloop,solar-panel,225,225,0.046,0.053,0.05,0.011,0.002,0.0,0.0,0.0,22.07235097885132
synth_new,val,ft21SGD,pv,225,225,1.0,1.0,1.0,0.995,0.919,1.0,1.0,1.0,0,0,0,7.989339590072632
synth_new,val,ariel,solar-panel,225,225,0.028,0.031,0.03,0.006,0.001,0,0,0,6.077543020248413
synth_new,val,pools,solarpanel,225,225,0.07,0.12,0.088,0.018,0.004,0,0,0,6.285770893096924
synth_new,test,finloop,solar-panel,114,114,0.2,0.035,0.06,0.037,0.004,0.0,0.0,0.0,15.520554065704346
synth_new,test,ft21SGD,pv,114,114,0.999,0.991,0.995,0.995,0.731,0.999,0.991,0.995,0,0,0,6.283442497253418
synth_new,test,ariel,solar-panel,114,114,0.15,0.035,0.057,0.026,0.003,0,0,0,4.34899377822876
synth_new,test,pools,solarpanel,114,114,0.111,0.088,0.098,0.021,0.003,0,0,0,4.618891000747681
