dataset,split,model,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
pilot,val,finloop,solar-panel,54,227,0.547,0.414,0.471,0.379,0.202,0.202,0.159,0.178,10.023051261901855
pilot,val,finloop_150,item,54,227,0.042,0.048,0.045,0.008,0.002,0.146,0.123,0.134,4.439028739929199
pilot,val,finloop_synth3,item,54,227,0.012,0.022,0.015,0.007,0.001,0.187,0.048,0.077,4.549951791763306
pilot,val,ariel2,item,54,227,0.369,0.256,0.302,0.216,0.096,0,0,0,3.1796648502349854
pilot,val,ariel42,item,54,227,0.018,0.044,0.025,0.006,0.001,0,0,0,3.075519323348999
pilot,val,pools,solarpanel,54,227,0.657,0.523,0.583,0.553,0.334,0,0,0,5.025482892990112
synth_old,train,finloop,solar-panel,150,374,0.396,0.275,0.325,0.273,0.115,0.254,0.184,0.214,13.199074029922485
synth_old,train,finloop_150,item,150,374,0.164,0.142,0.152,0.074,0.018,0.464,0.222,0.3,6.2193403244018555
synth_old,train,finloop_synth3,item,150,374,0.136,0.07,0.092,0.059,0.017,0.394,0.102,0.162,5.963587045669556
synth_old,train,ariel2,item,150,374,0.362,0.404,0.382,0.292,0.127,0,0,0,4.653733491897583
synth_old,train,ariel42,item,150,374,0.191,0.139,0.161,0.077,0.019,0,0,0,4.903021574020386
synth_old,train,pools,solarpanel,150,374,0.372,0.458,0.411,0.388,0.188,0,0,0,5.948796510696411
synth_old,val,finloop,solar-panel,12,35,0.501,0.571,0.534,0.538,0.259,0.361,0.429,0.392,4.6302711963653564
synth_old,val,finloop_150,item,12,35,0.205,0.143,0.168,0.086,0.018,0.52,0.371,0.433,4.102988243103027
synth_old,val,finloop_synth3,item,12,35,0.048,0.029,0.036,0.025,0.007,0.19,0.114,0.143,3.816392660140991
synth_old,val,ariel2,item,12,35,0.564,0.592,0.578,0.532,0.255,0,0,0,2.7458279132843018
synth_old,val,ariel42,item,12,35,0.314,0.171,0.222,0.101,0.017,0,0,0,2.616380453109741
synth_old,val,pools,solarpanel,12,35,0.668,0.543,0.599,0.637,0.34,0,0,0,3.387395143508911
synth_old,test,finloop,solar-panel,18,32,0.342,0.375,0.358,0.298,0.095,0.222,0.219,0.22,5.034242391586304
synth_old,test,finloop_150,item,18,32,0.199,0.094,0.128,0.065,0.022,0.341,0.156,0.214,3.880190134048462
synth_old,test,finloop_synth3,item,18,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0409815311431885
synth_old,test,ariel2,item,18,32,0.396,0.312,0.349,0.263,0.125,0,0,0,2.865088701248169
synth_old,test,ariel42,item,18,32,0.249,0.188,0.214,0.15,0.034,0,0,0,2.7893221378326416
synth_old,test,pools,solarpanel,18,32,0.435,0.469,0.451,0.355,0.159,0,0,0,3.7906293869018555
synth_new,train,finloop,solar-panel,789,789,0.065,0.03,0.042,0.013,0.002,0.0,0.0,0.0,35.678160667419434
synth_new,train,finloop_150,item,789,789,0.991,0.963,0.977,0.985,0.693,0.99,0.962,0.976,10.340375900268555
synth_new,train,finloop_synth3,item,789,789,0.998,0.995,0.997,0.995,0.982,0.998,0.995,0.997,10.061530590057373
synth_new,train,ariel2,item,789,789,0.406,0.372,0.388,0.275,0.091,0,0,0,7.7997894287109375
synth_new,train,ariel42,item,789,789,0.917,0.897,0.907,0.933,0.556,0,0,0,7.497808218002319
synth_new,train,pools,solarpanel,789,789,0.075,0.075,0.075,0.015,0.003,0,0,0,11.331993103027344
synth_new,val,finloop,solar-panel,225,225,0.031,0.027,0.029,0.008,0.001,0.0,0.0,0.0,16.616065740585327
synth_new,val,finloop_150,item,225,225,0.964,0.947,0.955,0.985,0.626,0.955,0.938,0.947,7.205725193023682
synth_new,val,finloop_synth3,item,225,225,1.0,0.996,0.998,0.995,0.873,1.0,0.996,0.998,6.846289873123169
synth_new,val,ariel2,item,225,225,0.354,0.302,0.326,0.255,0.077,0,0,0,5.374488592147827
synth_new,val,ariel42,item,225,225,0.896,0.879,0.887,0.948,0.565,0,0,0,5.302047491073608
synth_new,val,pools,solarpanel,225,225,0.079,0.076,0.077,0.017,0.003,0,0,0,5.950525760650635
synth_new,test,finloop,solar-panel,114,114,0.126,0.053,0.074,0.019,0.003,0.0,0.0,0.0,11.889650106430054
synth_new,test,finloop_150,item,114,114,0.974,0.974,0.974,0.982,0.629,0.974,0.974,0.974,5.8158862590789795
synth_new,test,finloop_synth3,item,114,114,0.999,1.0,1.0,0.995,0.901,0.999,1.0,1.0,5.622751235961914
synth_new,test,ariel2,item,114,114,0.397,0.439,0.417,0.363,0.125,0,0,0,4.125360727310181
synth_new,test,ariel42,item,114,114,0.897,0.895,0.896,0.93,0.538,0,0,0,4.251240015029907
synth_new,test,pools,solarpanel,114,114,0.086,0.079,0.082,0.019,0.004,0,0,0,5.085275650024414
