dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,789,789,0.999,0.987,0.993,0.995,0.871,0.997,0.986,0.992,12.285687446594238
synth_new2,val,pv,225,225,0.995,1.0,0.997,0.995,0.844,0.995,1.0,0.997,7.0810065269470215
synth_new2,test,pv,114,114,0.991,0.99,0.991,0.995,0.656,0.991,0.99,0.991,6.29228138923645
synth_new1,train,pv,789,789,0.999,0.983,0.991,0.994,0.84,0.999,0.983,0.991,11.138111591339111
synth_new1,val,pv,225,225,1.0,0.996,0.998,0.995,0.843,0.995,0.991,0.993,7.414737701416016
synth_new1,test,pv,114,114,0.999,1.0,0.999,0.995,0.837,0.999,1.0,0.999,6.350931406021118
synth_old,train,pv,150,374,0.41,0.246,0.307,0.233,0.12,0.352,0.214,0.266,7.009847402572632
synth_old,val,pv,12,35,0.947,0.508,0.661,0.693,0.375,0.784,0.457,0.578,4.908571720123291
synth_old,test,pv,18,32,0.269,0.333,0.297,0.232,0.119,0.147,0.188,0.165,5.207715034484863
rzeszow,train,pv,8440,66301,0.63,0.435,0.514,0.456,0.274,0.615,0.42,0.499,73.20549058914185
rzeszow,val,pv,661,2767,0.899,0.759,0.823,0.823,0.624,0.895,0.74,0.81,10.963661432266235
rzeszow,test,pv,435,1692,0.678,0.589,0.63,0.626,0.422,0.681,0.577,0.625,9.2975435256958
pilot,test,pv,54,227,0.401,0.079,0.132,0.093,0.043,0.343,0.07,0.117,6.030043363571167
