dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,789,789,0.998,0.989,0.993,0.995,0.913,0.998,0.989,0.993,12.083680629730225
synth_new2,val,pv,225,225,1.0,1.0,1.0,0.995,0.897,1.0,1.0,1.0,7.14444899559021
synth_new2,test,pv,114,114,0.998,0.991,0.995,0.995,0.762,0.998,0.991,0.995,6.238176345825195
synth_new1,train,pv,789,789,0.999,0.987,0.993,0.995,0.892,0.999,0.987,0.993,11.75823450088501
synth_new1,val,pv,225,225,0.999,1.0,1.0,0.995,0.903,0.999,1.0,1.0,7.461144208908081
synth_new1,test,pv,114,114,0.999,1.0,1.0,0.995,0.89,0.999,1.0,1.0,6.3204121589660645
synth_old,train,pv,150,374,0.292,0.195,0.234,0.143,0.066,0.25,0.174,0.205,7.133609294891357
synth_old,val,pv,12,35,0.552,0.686,0.612,0.56,0.243,0.463,0.629,0.533,4.8962390422821045
synth_old,test,pv,18,32,0.226,0.125,0.161,0.1,0.058,0.169,0.094,0.121,5.365027904510498
rzeszow,train,pv,8440,66301,0.64,0.426,0.511,0.461,0.28,0.619,0.404,0.489,76.90501308441162
rzeszow,val,pv,661,2767,0.89,0.753,0.816,0.819,0.62,0.869,0.735,0.797,10.900429010391235
rzeszow,test,pv,435,1692,0.712,0.58,0.639,0.623,0.407,0.701,0.57,0.629,9.278385877609253
pilot,test,pv,54,227,0.108,0.189,0.138,0.082,0.037,0.106,0.185,0.135,6.0839684009552
