dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,789,789,0.999,0.992,0.995,0.995,0.921,0.997,0.99,0.994,12.611840009689331
synth_new2,val,pv,225,225,1.0,1.0,1.0,0.995,0.91,1.0,1.0,1.0,7.440546989440918
synth_new2,test,pv,114,114,0.999,0.991,0.995,0.995,0.774,0.999,0.991,0.995,11.708148956298828
synth_new1,train,pv,789,789,1.0,0.991,0.995,0.995,0.899,1.0,0.991,0.995,36.174028158187866
synth_new1,val,pv,225,225,0.999,1.0,1.0,0.995,0.911,0.995,0.996,0.995,16.698224544525146
synth_new1,test,pv,114,114,0.999,1.0,1.0,0.995,0.906,0.999,1.0,1.0,10.95590329170227
synth_old,train,pv,150,374,0.389,0.233,0.291,0.229,0.1,0.335,0.182,0.236,13.710306882858276
synth_old,val,pv,12,35,0.603,0.686,0.642,0.551,0.27,0.702,0.514,0.594,5.711108922958374
synth_old,test,pv,18,32,0.3,0.188,0.231,0.11,0.059,0.198,0.125,0.153,6.645246267318726
rzeszow,train,pv,8440,66301,0.631,0.424,0.507,0.459,0.281,0.612,0.407,0.489,261.7127194404602
rzeszow,val,pv,661,2767,0.91,0.776,0.837,0.842,0.651,0.907,0.75,0.821,11.172640323638916
rzeszow,test,pv,435,1692,0.701,0.602,0.647,0.625,0.413,0.692,0.591,0.637,9.220611810684204
pilot,test,pv,54,227,0.105,0.172,0.13,0.097,0.049,0.11,0.181,0.137,10.046038150787354
