dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,789,789,0.972,0.954,0.963,0.968,0.637,0.973,0.954,0.964,12.542905569076538
synth_new2,val,pv,225,225,0.917,0.939,0.928,0.977,0.621,0.909,0.93,0.919,7.599825382232666
synth_new2,test,pv,114,114,0.972,0.991,0.981,0.991,0.584,0.972,0.991,0.981,6.542301416397095
synth_new1,train,pv,789,789,0.963,0.95,0.956,0.97,0.627,0.964,0.951,0.957,12.18835997581482
synth_new1,val,pv,225,225,0.973,0.952,0.962,0.986,0.635,0.968,0.948,0.958,8.337018489837646
synth_new1,test,pv,114,114,0.964,0.974,0.969,0.982,0.626,0.955,0.935,0.945,6.739508628845215
synth_old,train,pv,150,374,0.335,0.343,0.339,0.264,0.129,0.287,0.299,0.293,7.293036460876465
synth_old,val,pv,12,35,0.634,0.643,0.639,0.62,0.305,0.515,0.606,0.556,5.215274095535278
synth_old,test,pv,18,32,0.613,0.281,0.386,0.359,0.184,0.183,0.288,0.224,5.247296571731567
rzeszow,train,pv,8440,66301,0.591,0.427,0.496,0.441,0.262,0.576,0.415,0.482,80.50228452682495
rzeszow,val,pv,661,2767,0.762,0.63,0.69,0.674,0.477,0.748,0.618,0.677,11.815221309661865
rzeszow,test,pv,435,1692,0.621,0.559,0.589,0.576,0.388,0.615,0.553,0.582,9.85831332206726
pilot,test,pv,54,227,0.424,0.141,0.212,0.147,0.067,0.353,0.119,0.178,6.756187200546265
