dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,789,789,0.998,0.992,0.995,0.995,0.912,0.998,0.992,0.995,12.879976272583008
synth_new2,val,pv,225,225,0.998,1.0,0.999,0.995,0.914,0.998,1.0,0.999,7.5531325340271
synth_new2,test,pv,114,114,0.999,0.991,0.995,0.995,0.78,0.999,0.991,0.995,6.77099084854126
synth_new1,train,pv,789,789,0.997,0.992,0.995,0.995,0.892,0.997,0.992,0.995,12.100338459014893
synth_new1,val,pv,225,225,1.0,1.0,1.0,0.995,0.913,1.0,1.0,1.0,7.745767593383789
synth_new1,test,pv,114,114,0.999,1.0,1.0,0.995,0.911,0.999,1.0,1.0,6.923152208328247
synth_old,train,pv,150,374,0.346,0.222,0.27,0.2,0.094,0.274,0.182,0.219,7.2514519691467285
synth_old,val,pv,12,35,0.632,0.543,0.584,0.521,0.259,0.597,0.514,0.552,5.3410539627075195
synth_old,test,pv,18,32,0.272,0.312,0.291,0.22,0.11,0.192,0.219,0.205,5.513765573501587
rzeszow,train,pv,8440,66301,0.643,0.436,0.52,0.47,0.289,0.626,0.421,0.504,77.28181290626526
rzeszow,val,pv,661,2767,0.909,0.798,0.85,0.855,0.67,0.936,0.766,0.842,11.242534160614014
rzeszow,test,pv,435,1692,0.707,0.574,0.634,0.619,0.414,0.731,0.552,0.629,9.32336974143982
pilot,test,pv,54,227,0.193,0.093,0.125,0.072,0.035,0.199,0.115,0.145,6.585928440093994
