dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,789,789,0.989,0.981,0.985,0.994,0.849,0.989,0.981,0.985,12.757230043411255
synth_new2,val,pv,225,225,0.999,0.996,0.997,0.995,0.84,0.999,0.996,0.997,7.233922004699707
synth_new2,test,pv,114,114,0.989,0.982,0.986,0.995,0.763,0.989,0.982,0.986,6.8759729862213135
synth_new1,train,pv,789,789,0.994,0.983,0.988,0.994,0.836,0.994,0.983,0.988,12.003705263137817
synth_new1,val,pv,225,225,0.994,0.987,0.99,0.995,0.841,0.994,0.987,0.99,7.758052349090576
synth_new1,test,pv,114,114,0.991,0.984,0.987,0.995,0.833,0.991,0.984,0.987,6.741351842880249
synth_old,train,pv,150,374,0.313,0.144,0.198,0.122,0.053,0.374,0.118,0.179,7.630252838134766
synth_old,val,pv,12,35,0.582,0.543,0.562,0.499,0.195,0.776,0.343,0.476,5.1228907108306885
synth_old,test,pv,18,32,0.35,0.281,0.312,0.196,0.102,0.271,0.188,0.221,5.701202869415283
rzeszow,train,pv,8440,66301,0.603,0.41,0.488,0.428,0.238,0.588,0.385,0.465,79.81898379325867
rzeszow,val,pv,661,2767,0.751,0.649,0.696,0.7,0.463,0.735,0.605,0.663,11.385739088058472
rzeszow,test,pv,435,1692,0.579,0.573,0.576,0.563,0.341,0.583,0.556,0.569,9.420269250869751
pilot,test,pv,54,227,0.365,0.132,0.194,0.107,0.035,0.269,0.119,0.165,6.421513557434082
