dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,789,789,0.985,0.958,0.972,0.984,0.731,0.984,0.957,0.97,12.484948873519897
synth_new2,val,pv,225,225,0.982,0.95,0.965,0.987,0.684,0.982,0.95,0.965,7.3173229694366455
synth_new2,test,pv,114,114,0.988,0.982,0.985,0.977,0.548,0.997,0.991,0.994,6.508567810058594
synth_new1,train,pv,789,789,0.985,0.956,0.97,0.982,0.697,0.983,0.954,0.969,11.888838768005371
synth_new1,val,pv,225,225,0.991,0.969,0.98,0.993,0.709,0.991,0.969,0.98,7.498026132583618
synth_new1,test,pv,114,114,0.974,0.981,0.977,0.993,0.709,0.974,0.981,0.977,6.461263179779053
synth_old,train,pv,150,374,0.346,0.291,0.316,0.234,0.116,0.287,0.241,0.262,6.984142303466797
synth_old,val,pv,12,35,0.613,0.59,0.601,0.6,0.294,0.555,0.534,0.544,4.999322891235352
synth_old,test,pv,18,32,0.355,0.375,0.365,0.346,0.172,0.189,0.344,0.244,5.130903244018555
rzeszow,train,pv,8440,66301,0.588,0.423,0.492,0.437,0.256,0.573,0.411,0.479,81.6755723953247
rzeszow,val,pv,661,2767,0.749,0.591,0.661,0.646,0.453,0.736,0.58,0.649,10.984909296035767
rzeszow,test,pv,435,1692,0.632,0.533,0.579,0.562,0.379,0.622,0.53,0.572,9.07425045967102
pilot,test,pv,54,227,0.437,0.141,0.213,0.151,0.068,0.355,0.115,0.173,6.207333326339722
