dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,789,789,0.973,0.947,0.96,0.969,0.624,0.975,0.95,0.962,13.370827674865723
synth_new2,val,pv,225,225,0.973,0.911,0.941,0.981,0.606,0.973,0.911,0.941,7.942383527755737
synth_new2,test,pv,114,114,1.0,0.981,0.991,0.994,0.569,1.0,0.981,0.991,6.858110189437866
synth_new1,train,pv,789,789,0.977,0.94,0.959,0.969,0.613,0.98,0.943,0.961,12.589577674865723
synth_new1,val,pv,225,225,0.977,0.964,0.971,0.984,0.614,0.977,0.964,0.971,7.782490015029907
synth_new1,test,pv,114,114,0.932,0.982,0.957,0.982,0.619,0.932,0.982,0.957,6.841863632202148
synth_old,train,pv,150,374,0.323,0.35,0.336,0.25,0.122,0.277,0.291,0.284,7.675718069076538
synth_old,val,pv,12,35,0.597,0.629,0.612,0.613,0.299,0.542,0.571,0.557,5.357489824295044
synth_old,test,pv,18,32,0.361,0.344,0.352,0.31,0.157,0.306,0.188,0.233,5.596640348434448
rzeszow,train,pv,8440,66301,0.586,0.421,0.49,0.434,0.257,0.571,0.409,0.477,80.77053260803223
rzeszow,val,pv,661,2767,0.802,0.615,0.696,0.684,0.488,0.79,0.609,0.687,11.524224519729614
rzeszow,test,pv,435,1692,0.625,0.547,0.584,0.568,0.38,0.619,0.542,0.578,9.56996202468872
pilot,test,pv,54,227,0.376,0.154,0.219,0.137,0.064,0.317,0.137,0.191,6.741426467895508
