dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,t
synth_new2,train,pv,1014,1014,0.986,0.962,0.974,0.985,0.738,8.325690507888794
synth_new2,val,pv,225,225,0.988,0.973,0.981,0.993,0.744,5.231775999069214
synth_new2,test,pv,114,114,0.962,0.947,0.955,0.959,0.602,4.716769456863403
synth_new1,train,pv,789,789,0.977,0.959,0.968,0.982,0.724,8.286426067352295
synth_new1,val,pv,225,225,0.982,0.957,0.969,0.991,0.717,5.344218015670776
synth_new1,test,pv,114,114,0.966,0.986,0.976,0.989,0.735,4.87862491607666
synth_old,train,pv,150,374,0.592,0.337,0.429,0.342,0.153,5.162903308868408
synth_old,val,pv,12,35,0.654,0.6,0.626,0.592,0.269,3.8578033447265625
synth_old,test,pv,18,32,0.228,0.281,0.252,0.204,0.094,4.163036346435547
mix_synth_rzesz,train,pv,1449,2706,0.931,0.87,0.899,0.927,0.666,10.071036338806152
rzeszow,train,pv,435,1692,0.892,0.824,0.857,0.891,0.625,6.73150897026062
rzeszow,val,pv,661,2767,0.818,0.669,0.736,0.724,0.477,7.024655342102051
rzeszow,test,pv,8440,66301,0.873,0.761,0.813,0.845,0.506,38.568984031677246
pilot,test,pv,54,227,0.339,0.211,0.26,0.184,0.056,4.896088600158691
