dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.981,0.964,0.973,0.984,0.77,0.98,0.964,0.972,11.18916916847229
synth_new2,val,pv,225,225,0.974,0.986,0.98,0.993,0.764,0.974,0.986,0.98,6.70889949798584
synth_new2,test,pv,114,114,0.976,0.93,0.952,0.982,0.657,0.966,0.921,0.943,12.060290575027466
synth_new1,train,pv,789,789,0.979,0.956,0.967,0.981,0.757,0.978,0.955,0.966,34.26862096786499
synth_new1,val,pv,225,225,0.991,0.956,0.973,0.99,0.759,0.987,0.951,0.969,15.036145448684692
synth_new1,test,pv,114,114,0.978,0.991,0.985,0.995,0.775,0.978,0.991,0.985,10.373840808868408
synth_old,train,pv,150,374,0.337,0.176,0.232,0.168,0.074,0.306,0.16,0.211,12.348190546035767
synth_old,val,pv,12,35,0.527,0.445,0.483,0.38,0.177,0.527,0.445,0.483,5.405429124832153
synth_old,test,pv,18,32,0.364,0.188,0.247,0.166,0.102,0.242,0.125,0.165,6.057476043701172
mix_synth_rzesz,train,pv,1449,2706,0.946,0.922,0.934,0.958,0.73,0.944,0.883,0.913,14.408441543579102
rzeszow,train,pv,435,1692,0.931,0.906,0.918,0.943,0.71,0.904,0.854,0.879,8.864242792129517
rzeszow,val,pv,661,2767,0.875,0.753,0.809,0.795,0.568,0.894,0.709,0.791,9.113763809204102
rzeszow,test,pv,8440,66301,0.945,0.893,0.918,0.946,0.618,0.928,0.855,0.89,226.6523516178131
pilot,test,pv,54,227,0.239,0.26,0.249,0.156,0.062,0.227,0.233,0.23,10.317270278930664
