dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,t
synth_new2,train,pv,1014,1014,0.902,0.869,0.885,0.929,0.484,8.399618864059448
synth_new2,val,pv,225,225,0.895,0.827,0.86,0.909,0.468,5.482035160064697
synth_new2,test,pv,114,114,0.886,0.887,0.887,0.94,0.476,5.140520811080933
synth_new1,train,pv,789,789,0.886,0.859,0.873,0.921,0.482,9.371781826019287
synth_new1,val,pv,225,225,0.916,0.875,0.895,0.936,0.478,5.565496921539307
synth_new1,test,pv,114,114,0.937,0.918,0.928,0.954,0.497,5.254253625869751
synth_old,train,pv,150,374,0.391,0.366,0.378,0.265,0.092,5.626832485198975
synth_old,val,pv,12,35,0.38,0.629,0.474,0.427,0.174,4.079744577407837
synth_old,test,pv,18,32,0.152,0.188,0.168,0.082,0.035,4.843237400054932
mix_synth_rzesz,train,pv,1449,2706,0.755,0.593,0.664,0.683,0.339,10.370487689971924
rzeszow,train,pv,435,1692,0.56,0.471,0.512,0.495,0.24,6.821399211883545
rzeszow,val,pv,661,2767,0.459,0.391,0.422,0.351,0.145,7.331850290298462
rzeszow,test,pv,8440,66301,0.51,0.417,0.459,0.393,0.162,41.81867814064026
pilot,test,pv,54,227,0.188,0.132,0.155,0.074,0.02,5.051745653152466
