dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,t
synth_new2,train,pv,1014,1014,0.989,0.968,0.978,0.989,0.772,8.62041449546814
synth_new2,val,pv,225,225,0.99,0.982,0.986,0.992,0.785,5.938025951385498
synth_new2,test,pv,114,114,0.982,0.972,0.977,0.979,0.635,5.220503330230713
synth_new1,train,pv,789,789,0.986,0.965,0.975,0.984,0.756,7.720682859420776
synth_new1,val,pv,225,225,0.992,0.96,0.976,0.993,0.747,5.745283842086792
synth_new1,test,pv,114,114,0.979,0.982,0.981,0.991,0.774,5.30936861038208
synth_old,train,pv,150,374,0.464,0.378,0.417,0.318,0.142,5.631386041641235
synth_old,val,pv,12,35,0.781,0.486,0.599,0.559,0.291,4.425050735473633
synth_old,test,pv,18,32,0.321,0.219,0.26,0.145,0.081,4.666617393493652
mix_synth_rzesz,train,pv,1449,2706,0.935,0.888,0.911,0.945,0.703,11.094515085220337
rzeszow,train,pv,435,1692,0.906,0.848,0.876,0.915,0.66,7.129912614822388
rzeszow,val,pv,661,2767,0.787,0.649,0.711,0.696,0.451,7.604748964309692
rzeszow,test,pv,8440,66301,0.839,0.723,0.777,0.803,0.483,38.70913481712341
pilot,test,pv,54,227,0.375,0.216,0.274,0.197,0.066,5.421633005142212
