dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.932454347610474
synth_new2,val,pv,225,225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.494994878768921
synth_new2,test,pv,114,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.901881456375122
synth_new1,train,pv,789,789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.551167726516724
synth_new1,val,pv,225,225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.395679235458374
synth_new1,test,pv,114,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.960742950439453
synth_old,train,pv,150,374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.797330856323242
synth_old,val,pv,12,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.854504823684692
synth_old,test,pv,18,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.073296546936035
mix_synth_rzesz,train,pv,1449,2706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.669672966003418
rzeszow,train,pv,435,1692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.223057746887207
rzeszow,val,pv,661,2767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.026861906051636
rzeszow,test,pv,8440,66301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.896071434020996
pilot,test,pv,54,227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.881610631942749
