dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.999,0.992,0.995,0.995,0.917,0.998,0.991,0.994,13.861352920532227
synth_new2,val,pv,225,225,0.999,1.0,1.0,0.995,0.912,0.999,1.0,1.0,7.661455154418945
synth_new2,test,pv,114,114,1.0,0.991,0.995,0.995,0.744,1.0,0.991,0.995,6.818107843399048
synth_new1,train,pv,789,789,0.999,0.99,0.994,0.995,0.897,0.999,0.988,0.994,11.488028764724731
synth_new1,val,pv,225,225,1.0,0.991,0.995,0.995,0.903,1.0,0.991,0.995,7.798166036605835
synth_new1,test,pv,114,114,0.999,1.0,1.0,0.995,0.893,0.999,1.0,1.0,6.817296028137207
synth_old,train,pv,150,374,0.347,0.235,0.28,0.2,0.088,0.276,0.187,0.223,7.489828824996948
synth_old,val,pv,12,35,0.57,0.514,0.541,0.553,0.26,0.652,0.4,0.496,5.132883787155151
synth_old,test,pv,18,32,0.338,0.219,0.265,0.144,0.085,0.214,0.156,0.181,5.347090244293213
mix_synth_rzesz,train,pv,1449,2706,0.956,0.895,0.925,0.962,0.796,0.947,0.871,0.907,17.57143473625183
rzeszow,train,pv,435,1692,0.916,0.841,0.877,0.928,0.709,0.913,0.803,0.855,10.271364212036133
rzeszow,val,pv,661,2767,0.719,0.475,0.572,0.515,0.342,0.642,0.487,0.554,11.186288833618164
rzeszow,test,pv,8440,66301,0.641,0.423,0.51,0.453,0.277,0.624,0.405,0.491,73.16789317131042
pilot,test,pv,54,227,0.145,0.167,0.156,0.114,0.047,0.283,0.079,0.124,6.552361726760864
