dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.992,0.966,0.979,0.988,0.809,0.991,0.967,0.979,11.078792572021484
synth_new2,val,pv,225,225,0.985,0.969,0.977,0.992,0.815,0.985,0.969,0.977,7.371761083602905
synth_new2,test,pv,114,114,0.989,0.982,0.986,0.986,0.637,0.98,0.974,0.977,8.132960319519043
synth_new1,train,pv,789,789,0.991,0.962,0.976,0.985,0.785,0.989,0.962,0.975,10.462095260620117
synth_new1,val,pv,225,225,1.0,0.977,0.988,0.994,0.796,0.992,0.969,0.98,7.7066497802734375
synth_new1,test,pv,114,114,0.99,1.0,0.995,0.995,0.803,0.99,1.0,0.995,6.883576154708862
synth_old,train,pv,150,374,0.305,0.278,0.291,0.215,0.083,0.246,0.222,0.233,7.000097036361694
synth_old,val,pv,12,35,0.596,0.464,0.522,0.498,0.22,0.596,0.464,0.522,5.225351810455322
synth_old,test,pv,18,32,0.242,0.219,0.23,0.099,0.055,0.253,0.094,0.137,5.5405309200286865
mix_synth_rzesz,train,pv,1449,2706,0.959,0.918,0.938,0.966,0.757,0.934,0.882,0.907,14.819762945175171
rzeszow,train,pv,435,1692,0.939,0.89,0.914,0.95,0.724,0.889,0.839,0.863,9.10752820968628
rzeszow,val,pv,661,2767,0.849,0.713,0.775,0.758,0.529,0.823,0.676,0.742,9.723458051681519
rzeszow,test,pv,8440,66301,0.894,0.802,0.846,0.885,0.565,0.877,0.761,0.815,53.784647703170776
pilot,test,pv,54,227,0.372,0.216,0.273,0.178,0.058,0.355,0.207,0.262,7.011845827102661
