dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.291,0.246,0.266,0.16,0.04,0.0,0.0,0.0,11.524139165878296
synth_new2,test,pv,114,114,0.358,0.309,0.332,0.261,0.077,0.0,0.0,0.0,7.0493316650390625
synth_new1,test,pv,114,114,0.277,0.219,0.245,0.165,0.046,0.0,0.0,0.0,8.389780521392822
synth_old,train,pv,150,374,0.093,0.07,0.08,0.033,0.007,0.0,0.0,0.0,7.19532585144043
synth_old,val,pv,12,35,0.003,0.286,0.006,0.004,0.001,0.0,0.0,0.0,5.270090579986572
synth_old,test,pv,18,32,0.145,0.062,0.087,0.086,0.023,0.0,0.0,0.0,5.582905292510986
mix_synth_rzesz,train,pv,1449,2706,0.192,0.153,0.171,0.076,0.019,0.0,0.0,0.0,15.482321500778198
rzeszow,train,pv,435,1692,0.122,0.105,0.113,0.036,0.009,0.0,0.0,0.0,8.66733431816101
rzeszow,val,pv,661,2767,0.105,0.1,0.103,0.028,0.006,0.0,0.0,0.0,9.823168277740479
rzeszow,test,pv,8440,66301,0.098,0.079,0.087,0.026,0.007,0.0,0.0,0.0,55.52781105041504
pilot,test,pv,54,227,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,6.611798524856567
