dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.983,0.977,0.98,0.992,0.79,0.985,0.973,0.979,11.759287357330322
synth_new2,test,pv,114,114,1.0,0.947,0.973,0.992,0.628,1.0,0.947,0.973,6.687713623046875
synth_new1,test,pv,114,114,0.981,1.0,0.99,0.995,0.775,0.981,1.0,0.99,7.802400827407837
synth_old,train,pv,150,374,0.278,0.19,0.226,0.134,0.045,0.218,0.16,0.185,7.149252653121948
synth_old,val,pv,12,35,0.668,0.257,0.371,0.296,0.077,0.427,0.257,0.321,5.242649555206299
synth_old,test,pv,18,32,0.338,0.125,0.183,0.072,0.036,0.169,0.062,0.091,5.417642831802368
mix_synth_rzesz,train,pv,1449,2706,0.912,0.904,0.908,0.951,0.707,0.925,0.861,0.892,13.885148763656616
rzeszow,train,pv,435,1692,0.866,0.867,0.866,0.92,0.655,0.871,0.812,0.841,9.081008434295654
rzeszow,val,pv,661,2767,0.746,0.601,0.666,0.631,0.381,0.735,0.564,0.638,9.706177711486816
rzeszow,test,pv,8440,66301,0.767,0.621,0.686,0.685,0.398,0.754,0.583,0.658,69.50279426574707
pilot,test,pv,54,227,0.205,0.137,0.164,0.079,0.038,0.202,0.137,0.163,10.700424194335938
