dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.955,0.922,0.938,0.97,0.63,0.957,0.924,0.94,11.193464279174805
synth_new2,test,pv,114,114,0.973,0.931,0.951,0.976,0.482,0.963,0.922,0.942,6.902410268783569
synth_new1,test,pv,114,114,0.967,0.93,0.948,0.979,0.639,0.976,0.939,0.957,7.1190266609191895
synth_old,train,pv,150,374,0.308,0.366,0.335,0.26,0.109,0.25,0.299,0.273,6.99537205696106
synth_old,val,pv,12,35,0.418,0.494,0.453,0.419,0.197,0.443,0.522,0.479,5.070653915405273
synth_old,test,pv,18,32,0.361,0.25,0.296,0.214,0.108,0.416,0.156,0.227,5.237782716751099
mix_synth_rzesz,train,pv,1449,2706,0.931,0.886,0.908,0.944,0.65,0.908,0.858,0.882,15.10408878326416
rzeszow,train,pv,435,1692,0.923,0.862,0.892,0.93,0.667,0.88,0.818,0.848,9.468628406524658
rzeszow,val,pv,661,2767,0.848,0.688,0.76,0.741,0.497,0.823,0.647,0.724,10.127202987670898
rzeszow,test,pv,8440,66301,0.887,0.798,0.84,0.875,0.545,0.87,0.757,0.809,55.45990562438965
pilot,test,pv,54,227,0.358,0.253,0.297,0.222,0.076,0.332,0.229,0.271,6.674095869064331
