dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,1.0,0.994,0.997,0.995,0.921,0.999,0.993,0.996,14.048076629638672
synth_new2,test,pv,114,114,0.999,0.991,0.995,0.995,0.727,0.999,0.991,0.995,6.741005897521973
synth_new1,test,pv,114,114,0.999,1.0,1.0,0.995,0.873,0.999,1.0,1.0,6.961345434188843
synth_old,train,pv,150,374,0.316,0.273,0.293,0.208,0.098,0.285,0.243,0.262,7.33296012878418
synth_old,val,pv,12,35,0.672,0.527,0.591,0.534,0.249,0.587,0.486,0.532,5.721226453781128
synth_old,test,pv,18,32,0.443,0.219,0.293,0.206,0.112,0.205,0.156,0.177,5.522258043289185
mix_synth_rzesz,train,pv,1449,2706,0.946,0.892,0.918,0.957,0.783,0.921,0.868,0.894,16.746731281280518
rzeszow,train,pv,435,1692,0.907,0.836,0.87,0.921,0.683,0.841,0.82,0.831,9.87058973312378
rzeszow,val,pv,661,2767,0.663,0.49,0.563,0.511,0.344,0.66,0.486,0.56,11.481030941009521
rzeszow,test,pv,8440,66301,0.629,0.428,0.509,0.449,0.266,0.614,0.414,0.495,73.21093583106995
pilot,test,pv,54,227,0.291,0.101,0.15,0.094,0.043,0.267,0.093,0.137,6.511786699295044
