dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.991,0.968,0.979,0.989,0.804,0.99,0.967,0.978,11.509329557418823
synth_new2,test,pv,114,114,0.999,0.947,0.972,0.99,0.669,0.999,0.947,0.972,6.341815233230591
synth_new1,test,pv,114,114,0.99,0.991,0.99,0.995,0.792,0.99,0.991,0.99,6.7951061725616455
synth_old,train,pv,150,374,0.253,0.211,0.23,0.164,0.075,0.226,0.201,0.213,6.999200105667114
synth_old,val,pv,12,35,0.52,0.429,0.47,0.436,0.209,0.52,0.429,0.47,5.212405443191528
synth_old,test,pv,18,32,0.301,0.219,0.253,0.138,0.079,0.215,0.156,0.181,5.686087369918823
mix_synth_rzesz,train,pv,1449,2706,0.951,0.927,0.939,0.962,0.745,0.942,0.885,0.913,14.521064758300781
rzeszow,train,pv,435,1692,0.931,0.899,0.915,0.945,0.71,0.912,0.838,0.873,8.78339171409607
rzeszow,val,pv,661,2767,0.868,0.747,0.803,0.793,0.565,0.889,0.706,0.787,9.633644580841064
rzeszow,test,pv,8440,66301,0.942,0.885,0.913,0.942,0.616,0.924,0.848,0.884,61.0816855430603
pilot,test,pv,54,227,0.205,0.247,0.224,0.135,0.054,0.19,0.229,0.208,6.71482253074646
