dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.999,0.995,0.997,0.995,0.935,1.0,0.992,0.996,13.066341400146484
synth_new2,test,pv,114,114,0.999,0.991,0.995,0.995,0.807,0.999,0.991,0.995,6.474228858947754
synth_new1,test,pv,114,114,1.0,1.0,1.0,0.995,0.906,1.0,1.0,1.0,6.783911466598511
synth_old,train,pv,150,374,0.303,0.182,0.228,0.152,0.07,0.196,0.15,0.17,6.950502395629883
synth_old,val,pv,12,35,0.666,0.513,0.58,0.451,0.211,0.547,0.429,0.481,5.31308650970459
synth_old,test,pv,18,32,0.405,0.25,0.309,0.173,0.08,0.156,0.219,0.182,5.258328914642334
mix_synth_rzesz,train,pv,1449,2706,0.925,0.891,0.907,0.95,0.786,0.928,0.847,0.886,16.804163694381714
rzeszow,train,pv,435,1692,0.876,0.838,0.856,0.903,0.672,0.842,0.793,0.817,10.500958919525146
rzeszow,val,pv,661,2767,0.668,0.475,0.555,0.493,0.314,0.636,0.443,0.522,12.144688129425049
rzeszow,test,pv,8440,66301,0.624,0.392,0.482,0.42,0.248,0.606,0.367,0.457,73.06358242034912
pilot,test,pv,54,227,0.337,0.145,0.203,0.138,0.056,0.28,0.123,0.171,6.483238697052002
