dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.995,0.986,0.991,0.995,0.865,0.995,0.986,0.991,10.670920848846436
synth_new2,test,pv,114,114,0.999,0.982,0.991,0.995,0.664,0.99,0.974,0.982,6.4315409660339355
synth_new1,test,pv,114,114,0.996,1.0,0.998,0.995,0.839,0.996,1.0,0.998,6.621621608734131
synth_old,train,pv,150,374,0.299,0.233,0.262,0.205,0.084,0.297,0.193,0.234,7.019763469696045
synth_old,val,pv,12,35,0.519,0.343,0.413,0.37,0.166,0.519,0.343,0.413,5.265469551086426
synth_old,test,pv,18,32,0.343,0.219,0.267,0.174,0.084,0.349,0.094,0.148,5.415795803070068
mix_synth_rzesz,train,pv,1449,2706,0.958,0.948,0.953,0.978,0.804,0.928,0.916,0.922,13.02849268913269
rzeszow,train,pv,435,1692,0.936,0.924,0.93,0.963,0.763,0.887,0.875,0.881,8.667873620986938
rzeszow,val,pv,661,2767,0.846,0.695,0.763,0.744,0.512,0.831,0.662,0.737,9.513434886932373
rzeszow,test,pv,8440,66301,0.901,0.815,0.856,0.895,0.589,0.882,0.774,0.824,54.22907471656799
pilot,test,pv,54,227,0.407,0.218,0.283,0.214,0.089,0.499,0.203,0.288,6.761563062667847
