dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.998,0.99,0.994,0.995,0.902,0.998,0.99,0.994,13.895858764648438
synth_new2,test,pv,114,114,0.999,0.991,0.995,0.995,0.719,0.999,0.991,0.995,6.708362817764282
synth_new1,test,pv,114,114,0.998,1.0,0.999,0.995,0.87,0.998,1.0,0.999,7.194092512130737
synth_old,train,pv,150,374,0.389,0.286,0.33,0.243,0.118,0.32,0.238,0.273,7.743309259414673
synth_old,val,pv,12,35,0.678,0.514,0.585,0.536,0.244,0.561,0.429,0.486,5.817932605743408
synth_old,test,pv,18,32,0.255,0.342,0.292,0.243,0.131,0.132,0.25,0.173,5.84016489982605
mix_synth_rzesz,train,pv,1449,2706,0.926,0.862,0.893,0.929,0.72,0.904,0.841,0.871,18.07319450378418
rzeszow,train,pv,435,1692,0.857,0.805,0.83,0.876,0.62,0.825,0.77,0.797,9.85567045211792
rzeszow,val,pv,661,2767,0.69,0.472,0.561,0.522,0.341,0.675,0.463,0.549,11.415239334106445
rzeszow,test,pv,8440,66301,0.596,0.407,0.484,0.419,0.243,0.584,0.393,0.47,73.48213291168213
pilot,test,pv,54,227,0.34,0.123,0.181,0.119,0.049,0.246,0.093,0.134,6.688387632369995
