dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,789,789,0.998,0.987,0.993,0.995,0.868,0.997,0.986,0.991,12.363358974456787
synth_new2,val,pv,225,225,0.997,0.996,0.996,0.995,0.83,0.997,0.996,0.996,7.069794654846191
synth_new2,test,pv,114,114,0.991,0.991,0.991,0.995,0.677,0.991,0.991,0.991,6.50195837020874
synth_new1,train,pv,789,789,0.998,0.986,0.992,0.993,0.838,0.998,0.986,0.992,11.685248374938965
synth_new1,val,pv,225,225,0.999,0.996,0.997,0.995,0.85,0.995,0.991,0.993,7.624091625213623
synth_new1,test,pv,114,114,0.999,0.991,0.995,0.995,0.834,0.999,0.991,0.995,6.525280475616455
synth_old,train,pv,150,374,0.378,0.254,0.304,0.225,0.113,0.346,0.233,0.278,6.974878311157227
synth_old,val,pv,12,35,0.743,0.6,0.664,0.671,0.346,0.671,0.543,0.6,4.924317836761475
synth_old,test,pv,18,32,0.275,0.414,0.33,0.301,0.15,0.158,0.25,0.194,5.111527442932129
rzeszow,train,pv,8440,66301,0.631,0.441,0.519,0.461,0.276,0.614,0.428,0.505,79.06554675102234
rzeszow,val,pv,661,2767,0.877,0.72,0.791,0.794,0.587,0.871,0.708,0.781,10.978726148605347
rzeszow,test,pv,435,1692,0.704,0.573,0.631,0.631,0.427,0.704,0.569,0.629,9.469573020935059
pilot,test,pv,54,227,0.428,0.079,0.134,0.098,0.046,0.137,0.128,0.132,6.174762725830078
