dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,789,789,1.0,0.99,0.995,0.995,0.908,1.0,0.99,0.995,12.750998735427856
synth_new2,val,pv,225,225,0.999,1.0,0.999,0.995,0.897,0.999,1.0,0.999,7.1846771240234375
synth_new2,test,pv,114,114,0.999,0.991,0.995,0.995,0.749,0.999,0.991,0.995,6.725525856018066
synth_new1,train,pv,789,789,1.0,0.99,0.995,0.995,0.887,1.0,0.99,0.995,11.668084621429443
synth_new1,val,pv,225,225,0.999,1.0,0.999,0.995,0.892,0.999,1.0,0.999,7.576490163803101
synth_new1,test,pv,114,114,1.0,1.0,1.0,0.995,0.874,1.0,1.0,1.0,6.499456167221069
synth_old,train,pv,150,374,0.358,0.225,0.276,0.186,0.084,0.303,0.187,0.231,6.998423337936401
synth_old,val,pv,12,35,0.593,0.686,0.636,0.558,0.27,0.668,0.514,0.581,4.970926761627197
synth_old,test,pv,18,32,0.352,0.219,0.27,0.167,0.087,0.201,0.125,0.154,5.14411735534668
rzeszow,train,pv,8440,66301,0.639,0.427,0.512,0.46,0.279,0.62,0.405,0.49,77.51960372924805
rzeszow,val,pv,661,2767,0.869,0.735,0.796,0.791,0.583,0.85,0.711,0.774,11.014267206192017
rzeszow,test,pv,435,1692,0.708,0.599,0.649,0.63,0.409,0.706,0.579,0.636,9.334038972854614
pilot,test,pv,54,227,0.095,0.207,0.13,0.087,0.04,0.244,0.104,0.146,6.15834379196167
