setting,Box-F1,mAP50,Mask-F1
ft10_AdamW_feval.csv,0.487,0.432,0.463
ft10_SGD_feval.csv,0.514,0.456,0.499
ft11_AdamW_feval.csv,0.511,0.461,0.489
ft11_SGD_feval.csv,0.498,0.444,0.484
ft12b_AdamW_feval.csv,0.507,0.459,0.489
ft12b_SGD_feval.csv,0.496,0.441,0.482
ft12c_AdamW_feval.csv,0.52,0.47,0.504
ft12c_SGD_feval.csv,0.49,0.434,0.477
ft12_AdamW_feval.csv,0.509,0.456,0.488
ft12_SGD_feval.csv,0.495,0.439,0.482
ft4_feval_SGD.csv,0.655,0.608,0.62
ft7_feval_AdamW.csv,0.484,0.419,0.461
ft7_feval_auto.csv,0.488,0.428,0.465
ft7_feval_SGD.csv,0.525,0.473,0.511
ft8_feval_AdamW.csv,0.475,0.415,0.448
ft8_feval_auto.csv,0.488,0.428,0.465
ft8_feval_SGD.csv,0.519,0.461,0.505
ft9_feval_AdamW.csv,0.512,0.46,0.49
ft9_feval_auto.csv,0.488,0.428,0.465
ft9_feval_SGD.csv,0.492,0.437,0.479
