setting,Box-F1,mAP50,mAP50-95,Mask-F1
ft20_AdamW_ariel.pt_feval.csv,0.875,0.914,0.65,0
ft20_AdamW_feval.csv,0.727,0.768,0.509,0.712
ft20_RMSProp_ariel.pt_feval.csv,0.534,0.504,0.242,0
ft20_RMSProp_feval.csv,0.0,0.0,0.0,0.0
ft20_SGD_ariel.pt_feval.csv,0.857,0.891,0.625,0
ft20_SGD_feval.csv,0.884,0.925,0.696,0.855
ft21fin_SGD_finloop.pt_feval.csv,0.918,0.943,0.71,0.879
ft21v8_SGD_feval.csv,0.872,0.917,0.687,0.839
ft21v8_SGD_yolov8l-seg.pt_feval.csv,0.829,0.875,0.645,0.809
ft21_AdamW_ariel.pt_feval.csv,0.864,0.916,0.655,0
ft21_AdamW_feval.csv,0.76,0.794,0.542,0.743
ft21_RMSProp_ariel.pt_feval.csv,0.581,0.568,0.287,0
ft21_RMSProp_feval.csv,0.009,0.019,0.007,0.006
ft21_SGD_ariel.pt_feval.csv,0.852,0.885,0.613,0
ft21_SGD_feval.csv,0.872,0.917,0.687,0.839
ft22_AdamW_ariel.pt_feval.csv,0.879,0.912,0.655,0
ft22_AdamW_feval.csv,0.788,0.839,0.587,0.764
ft22_RMSProp_ariel.pt_feval.csv,0.512,0.495,0.24,0
ft22_RMSProp_feval.csv,0.0,0.0,0.0,0.0
ft22_SGD_ariel.pt_feval.csv,0.859,0.888,0.629,0
ft22_SGD_feval.csv,0.88,0.924,0.7,0.853
ft23_AdamW_ariel.pt_feval.csv,0.876,0.915,0.66,0
ft23_AdamW_feval.csv,0.805,0.86,0.612,0.78
ft23_RMSProp_ariel.pt_feval.csv,0.537,0.512,0.246,0
ft23_RMSProp_feval.csv,0.0,0.0,0.0,0.0
ft23_SGD_ariel.pt_feval.csv,0.843,0.877,0.599,0
ft23_SGD_feval.csv,0.848,0.894,0.661,0.818
ft24_AdamW_ariel.pt_feval.csv,0.83,0.87,0.598,0
ft24_AdamW_feval.csv,0.844,0.894,0.667,0.814
ft24_RMSProp_ariel.pt_feval.csv,0.566,0.585,0.31,0
ft24_RMSProp_feval.csv,0.0,0.0,0.0,0.0
ft24_SGD_ariel.pt_feval.csv,0.805,0.829,0.534,0
ft24_SGD_feval.csv,0.666,0.692,0.481,0.657
ft25_AdamW_ariel.pt_feval.csv,0.839,0.878,0.587,0
ft25_AdamW_feval.csv,0.877,0.928,0.709,0.855
ft25_RMSProp_ariel.pt_feval.csv,0.488,0.457,0.208,0
ft25_RMSProp_feval.csv,0.018,0.176,0.075,0.015
ft25_SGD_ariel.pt_feval.csv,0.822,0.844,0.561,0
ft25_SGD_feval.csv,0.697,0.724,0.501,0.668
ft26_AdamW_feval.csv,0.821,0.861,0.611,0.798
ft26_AdamW_finloop.pt_feval.csv,0.942,0.972,0.794,0.908
ft26_SGD_feval.csv,0.903,0.946,0.75,0.872
