setting,Box-F1,mAP50,mAP50-95,Mask-F1
ft10_AdamW_feval.csv,0.209,0.132,0.056,0.184
ft10_SGD_feval.csv,0.307,0.233,0.12,0.266
ft11_AdamW_feval.csv,0.234,0.143,0.066,0.205
ft11_SGD_feval.csv,0.309,0.227,0.114,0.26
ft12b_AdamW_feval.csv,0.291,0.229,0.1,0.236
ft12b_SGD_feval.csv,0.339,0.264,0.129,0.293
ft12c_AdamW_feval.csv,0.27,0.2,0.094,0.219
ft12c_SGD_feval.csv,0.336,0.25,0.122,0.284
ft12_AdamW_feval.csv,0.296,0.196,0.088,0.268
ft12_SGD_feval.csv,0.328,0.215,0.103,0.276
ft20_AdamW_ariel.pt_feval.csv,0.373,0.294,0.126,0
ft20_AdamW_feval.csv,0.243,0.155,0.068,0.174
ft20_RMSProp_ariel.pt_feval.csv,0.314,0.201,0.068,0
ft20_RMSProp_feval.csv,0.0,0.0,0.0,0.0
ft20_SGD_ariel.pt_feval.csv,0.429,0.342,0.153,0
ft20_SGD_feval.csv,0.308,0.254,0.115,0.289
ft21fin_SGD_finloop.pt_feval.csv,0.232,0.168,0.074,0.211
ft21v8_SGD_feval.csv,0.342,0.276,0.134,0.297
ft21v8_SGD_yolov8l-seg.pt_feval.csv,0.407,0.291,0.141,0.339
ft21_AdamW_ariel.pt_feval.csv,0.374,0.268,0.107,0
ft21_AdamW_feval.csv,0.245,0.16,0.076,0.192
ft21_RMSProp_ariel.pt_feval.csv,0.351,0.286,0.101,0
ft21_RMSProp_feval.csv,0.005,0.009,0.003,0.005
ft21_SGD_ariel.pt_feval.csv,0.434,0.351,0.156,0
ft21_SGD_feval.csv,0.342,0.276,0.134,0.297
ft22_AdamW_ariel.pt_feval.csv,0.37,0.274,0.118,0
ft22_AdamW_feval.csv,0.311,0.24,0.107,0.214
ft22_RMSProp_ariel.pt_feval.csv,0.378,0.265,0.092,0
ft22_RMSProp_feval.csv,0.0,0.0,0.0,0.0
ft22_SGD_ariel.pt_feval.csv,0.424,0.335,0.148,0
ft22_SGD_feval.csv,0.277,0.207,0.102,0.255
ft23_AdamW_ariel.pt_feval.csv,0.417,0.318,0.142,0
ft23_AdamW_feval.csv,0.302,0.221,0.091,0.244
ft23_RMSProp_ariel.pt_feval.csv,0.34,0.246,0.094,0
ft23_RMSProp_feval.csv,0.0,0.0,0.0,0.0
ft23_SGD_ariel.pt_feval.csv,0.446,0.376,0.161,0
ft23_SGD_feval.csv,0.319,0.257,0.124,0.289
ft24_AdamW_ariel.pt_feval.csv,0.426,0.333,0.152,0
ft24_AdamW_feval.csv,0.19,0.135,0.06,0.162
ft24_RMSProp_ariel.pt_feval.csv,0.386,0.296,0.111,0
ft24_RMSProp_feval.csv,0.0,0.0,0.0,0.0
