dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1
pilot,test,pv,54,227,0.247,0.11,0.152,0.08,0.035,0.206,0.093,0.128
rzesz,test,pv,435,1692,0.711,0.605,0.654,0.643,0.443,0.715,0.591,0.647
rzesz,train,pv,8440,66301,0.649,0.442,0.526,0.469,0.289,0.631,0.426,0.509
rzesz,val,pv,661,2767,0.932,0.784,0.852,0.851,0.672,0.938,0.764,0.842
synth_new,test,pv,114,114,0.989,0.965,0.977,0.984,0.614,0.998,0.974,0.986
synth_new,train,pv,789,789,0.999,0.986,0.992,0.995,0.846,0.999,0.986,0.992
synth_new,val,pv,225,225,0.963,0.918,0.94,0.967,0.62,0.958,0.913,0.935
synth_old,test,pv,18,32,0.483,0.375,0.422,0.338,0.141,0.189,0.188,0.188
synth_old,train,pv,150,374,0.435,0.329,0.374,0.275,0.127,0.362,0.275,0.313
synth_old,val,pv,12,35,0.721,0.6,0.655,0.608,0.272,0.677,0.571,0.62
